,puntuacion,total_premios,razzie,director,guion,musica,fotografia,reparto_1,reparto_2,reparto_3,reparto_4,reparto_5,duracion,year,accion,aventuras,belico,ciencia ficcion,cine negro,comedia,drama,fantastico,infantil,intriga,musical,romance,terror,thriller,western,pais
50,7.1,14,0,3,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5182
51,5.1,0,0,0,0,0,0,0,0,1,3,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1042
52,6.5,1,0,0,0,0,0,3,4,0,0,2,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1042
53,6.7,0,0,0,0,0,0,0,1,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5182
54,8.1,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,313
55,6.7,0,0,0,0,0,0,1,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,716
56,7.2,0,0,0,3,6,2,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,879
58,7.3,1,0,0,1,0,0,0,4,0,3,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5182
59,4.4,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,88
60,5.4,0,0,0,0,0,1,2,0,4,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,78
61,6.6,0,0,0,0,1,2,4,2,6,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5182
62,5.6,0,0,0,0,0,0,15,6,0,2,9,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5182
63,6.5,1,0,0,0,0,1,3,7,5,0,1,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,313
64,4.9,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,178
65,5.1,0,0,0,0,2,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5182
69,5.1,0,0,0,0,0,0,0,0,0,2,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5182
70,6.1,0,0,0,0,0,1,0,0,1,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1042
71,6.1,0,0,0,0,0,0,0,2,4,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5182
72,8.2,0,0,1,0,0,0,0,1,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,879
73,6.4,0,0,0,0,0,2,2,5,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5182
74,6.2,3,0,4,0,0,2,0,2,0,1,1,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5182
75,5.2,0,0,0,0,4,0,3,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,716
76,6.7,5,0,2,1,3,0,5,0,2,0,1,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,313
77,5.4,0,0,0,0,0,3,5,0,1,0,1,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1042
78,7.2,0,0,0,0,0,0,5,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,151
79,6.5,1,0,0,0,0,0,2,4,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,879
80,6.1,0,0,0,0,0,0,1,2,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5182
81,7.0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5182
82,7.2,0,0,1,0,0,1,2,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1042
83,7.6,0,0,3,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5182
84,4.4,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1042
85,6.1,0,0,0,0,0,0,1,0,1,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5182
86,7.0,0,0,0,0,1,0,6,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5182
87,4.0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5182
88,6.7,0,0,0,0,0,0,1,0,3,3,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5182
89,7.4,0,0,0,0,0,0,0,0,5,2,3,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5182
90,4.7,1,2,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5182
91,4.1,0,0,0,0,2,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,879
92,7.6,2,0,3,1,0,1,5,1,0,10,5,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5182
93,6.9,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,716
94,7.3,0,0,0,1,0,0,0,0,1,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5182
95,7.5,2,0,6,0,1,0,7,2,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5182
96,5.5,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5182
97,6.1,2,0,0,0,1,7,3,3,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5182
98,7.5,1,0,0,2,1,0,3,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1042
101,6.4,1,0,1,0,1,1,3,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5182
102,7.5,0,0,0,0,1,0,6,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5182
103,5.0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1042
104,5.2,0,0,0,0,2,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5182
108,6.0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5182
109,7.7,2,0,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,103
110,5.6,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5182
111,4.3,0,0,0,0,0,0,0,0,0,5,1,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1042
112,5.2,0,0,0,0,0,8,0,0,1,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5182
113,6.4,0,0,0,0,2,0,0,0,0,2,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5182
114,4.5,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5182
115,6.0,0,0,1,1,0,4,0,0,8,1,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,716
116,4.4,0,0,0,0,1,0,0,2,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5182
117,5.2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,178
118,6.4,0,0,0,0,2,0,0,3,3,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5182
119,5.1,0,0,0,1,0,0,3,1,1,1,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,140
