id;festival;categoria;año;premiado_a;director
979;Festival de Sitges ; Premio especial del jurado: ;2022; Project Wolf Hunting ; Kim Hong-sun
980;Festival de Sitges ; Premio especial del jurado: ;2021; After Blue (Paradis sale) ; Seo In-guk
981;Festival de Sitges ; Premio especial del jurado: ;2020; La nube ; Sung Dong-il
982;Festival de Sitges ; Premio especial del jurado: ;2019; Adoration ; Choi Gwi-hwa
983;Festival de Sitges ; Premio especial del jurado: ;2018; Lazzaro feliz ; Bertrand Mandico
984;Festival de Sitges ; Premio especial del jurado: ;2017; Thelma ; Vimala Pons
985;Festival de Sitges ; Premio especial del jurado: ;2016; La autopsia de Jane Doe ; Elina Löwensohn
986;Festival de Sitges ; Premio especial del jurado: ;2015; Las últimas supervivientes ; Agata Buzek
987;Festival de Sitges ; Premio especial del jurado: ;2014; Babadook ; Just Philippot
988;Festival de Sitges ; Premio especial del jurado: ;2013; Sólo los amantes sobreviven ; Suliane Brahim
989;Festival de Sitges ; Premio especial del jurado: ;2012; Chained ; Marie Narbonne
990;Festival de Sitges ; Premio especial del jurado: ;2011; Somos la noche ; Sofian Khammes
991;Festival de Sitges ; Premio especial del jurado: ;2010; Enter the Void ; Fabrice Du Welz
992;Festival de Sitges ; Premio especial del jurado: ;2009; Eden Lake ; Thomas Gioria
993;Festival de Sitges ; Premio especial del jurado: ;2008; El ejército de los muertos (Masters of Horror Series) (TV) ; Fantine Harduin
994;Festival de Sitges ; Premio especial del jurado: ;2007; El sabor de la sandía ; Benoît Poelvoorde
995;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2022; Saint Omer. El pueblo contra Laurence Coly ; Alice Diop
996;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2021; Great Freedom (Gran libertad) ; Kayije Kagame
997;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2020; Malmkrog ; Guslagie Malanda
998;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2019; Martin Eden ; Valérie Dréville
999;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2018; Donbass ; Sebastian Meise
1000;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2017; La fábrica de nada ; Franz Rogowski
1001;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2016; La alta sociedad ; Georg Friedrich
1002;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2015; La academia de las musas ; Anton von Lucke
1003;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2014; Fuerza mayor ; Cristi Puiu
1004;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2013; El desconocido del lago ; Agathe Bosch
1005;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2012; Come, duerme, muere ; Ugo Broussot
1006;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2011; Siempre feliz ; Marina Palii
1007;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2010; Son of Babylon ; Pietro Marcello
1008;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2009; Lourdes ; Luca Marinelli
1009;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2008; Volveré enseguida ; Jessica Cressy
1010;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2007; En un mundo libre ; Carlo Cecchi
1011;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2006; Venus ; Sergei Loznitsa
1012;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2005; De latir, mi corazón se ha parado ; Valeriu Andriuta
1013;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2004; Avanim ; Evgeny Chistyakov
1014;Festival de Sevilla ; Premio Especial del Jurado: ;2022; Fuego fatuo ; João Pedro Rodrigues
1015;Festival de Sevilla ; Premio Especial del Jurado: ;2021; Close ; Mauro Costa
1016;Festival de Sevilla ; Premio Especial del Jurado: ;2020; Costa Brava, Líbano ; André Cabral
1017;Festival de Sevilla ; Premio Especial del Jurado: ;2019; Onoda, 10.000 noches en la jungla ; Joel Branco
1018;Festival de Sevilla ; Premio Especial del Jurado: ;2018; El año del descubrimiento ; Lukas Dhont
1019;Festival de Sevilla ; Premio Especial del Jurado: ;2017; Technoboss ; Eden Dambrine
1020;Festival de Sevilla ; Premio Especial del Jurado: ;2016; Ray y Liz ; Gustav De Waele
1021;Festival de Sevilla ; Premio Especial del Jurado: ;2015; Zama ; Émilie Dequenne
1022;Festival de Sevilla ; Premio Especial del Jurado: ;2014; Western ; Mounia Akl
1023;Festival de Sevilla ; Premio Especial del Jurado: ;2013; Mimosas ; Nadine Labaki
1024;Festival de Sevilla ; Premio Especial del Jurado: ;2012; Rabin, el último día ; Yumna Marwan
1025;Festival de Sevilla ; Premio Especial del Jurado: ;2011; El país de las maravillas ; Saleh Bakri
1026;Festival de Sevilla ; Premio Especial del Jurado: ;2010; Reality ; Arthur Harari
1027;Festival de Sevilla ; Premio Especial del Jurado: ;2009; El molino y la cruz ; Yuya Endo
1028;Festival de Sevilla ; Premio Especial del Jurado: ;2008; Semilla de maldad (Tender Son) ; Kanji Tsuda
1029;Festival de Sevilla ; Premio Especial del Jurado: ;2007; 44 Inch Chest (La medida de la venganza) ; Yûya Matsuura
1030;Festival de Sevilla ; Premio Especial del Jurado: ;2006; Gomorra ; Luis López Carrasco
1031;Festival de Sevilla ; Premio Especial del Jurado: ;2005; La comedia de la vida ; Raúl Liarte
1032;Festival de Sevilla ; Premio Especial del Jurado: ;2004; Aleksandra ; José Ibarra Bastida
1033;Festival de Rotterdam ; Tiger Award: Mejor película: ;2023; Le spectre de Boko Haram ; Cyrielle Raingou
1034;Festival de Rotterdam ; Tiger Award: Mejor película: ;2022; Eami ; Falta Souleymane
1035;Festival de Rotterdam ; Tiger Award: Mejor película: ;2021; Pebbles ; Ibrahim Alilou
1036;Festival de Rotterdam ; Tiger Award: Mejor película: ;2020; The Cloud in Her Room ; Paz Encina
1037;Festival de Rotterdam ; Tiger Award: Mejor película: ;2019; Present.Perfect. ; Anel Picanerai
1038;Festival de Rotterdam ; Tiger Award: Mejor película: ;2018; The Widowed Witch ; Curia Chiquejno Etacoro
1039;Festival de Rotterdam ; Tiger Award: Mejor película: ;2017; Sexy Durga ; Ducubaide Chiquenoi
1040;Festival de Rotterdam ; Tiger Award: Mejor película: ;2016; Radio Dreams ; P.S. Vinothraj
1041;Festival de Rotterdam ; Tiger Award: Mejor película: ;2015; La obra del siglo ; Chellapandi
1042;Festival de Rotterdam ; Tiger Award: Mejor película: ;2014; Videofilia (y otros síndromes virales) ; Karuththadaiyaan
1043;Festival de Rotterdam ; Tiger Award: Mejor película: ;2013; Vanishing Point ; Zheng Lu Xinyuan
1044;Festival de Rotterdam ; Tiger Award: Mejor película: ;2012; Anatomy of a Paper Clip ; Jin Jing
1045;Festival de Rotterdam ; Tiger Award: Mejor película: ;2011; Princesa (Han Gong-Ju) ; Liu Dan
1046;Festival de Rotterdam ; Tiger Award: Mejor película: ;2010; Something Must Break ; Chen Zhou
1047;Festival de Rotterdam ; Tiger Award: Mejor película: ;2009; Fat Shaker ; Shengze Zhu
1048;Festival de Rotterdam ; Tiger Award: Mejor película: ;2008; My Dog Killer ; Cai Chengjie
1049;Festival de Rotterdam ; Tiger Award: Mejor película: ;2007; Soldier Jane ; Tian Tian
1050;Festival de Rotterdam ; Tiger Award: Mejor película: ;2006; De jueves a domingo ; Wen Xinyu
1051;Festival de Rotterdam ; Tiger Award: Mejor película: ;2005; Egg and Stone ; Wang Qilin
1052;Festival de Rotterdam ; Tiger Award: Mejor película: ;2004; Klip ; Sanal Kumar Sasidharan
1053;Festival de Rotterdam ; Tiger Award: Mejor película: ;2003; Finisterrae ; Rajshri Deshpande
1054;Festival de Rotterdam ; Premio Especial del Jurado: ;2023; To Love Again ; Gao Linyang
1055;Festival de Rotterdam ; Premio Especial del Jurado: ;2022; Excess Will Save Us ; Li Xuejian
1056;Festival de Rotterdam ; Premio Especial del Jurado: ;2021; Un verano en Córcega ; Xiaoying Song
1057;Festival de Rotterdam ; Premio Especial del Jurado: ;2020; Looking for Venera ; Morgane Dziurla-Petit
1058;Festival de Rotterdam ; Premio Especial del Jurado: ;2019; Nido de víboras ; Marie-Christine Carlier
1059;Festival de Rotterdam ; Premio Especial del Jurado: ;2018; Take Me Somewhere Nice ; Morgane Dziurla-Petit
1060;Festival de Rotterdam ; Premio Especial del Jurado: ;2017; Los informes sobre Sarah y Saleem ; Bernard Petit
1061;Festival de Rotterdam ; Premio Especial del Jurado: ;2016; Rey ; Pascal Tagnati
1062;Festival de Rotterdam ; Premio Especial del Jurado: ;2015; La última tierra ; Jean-Christophe Folly
1063;Festival Internacional de Tokyo ; Mejor película: ;2022; As bestas ; Rodrigo Sorogoyen
1064;Festival Internacional de Tokyo ; Mejor película: ;2021; Vera Dreams of the Sea ; Marina Foïs
1065;Festival Internacional de Tokyo ; Mejor película: ;2019; Uncle ; Denis Ménochet
1066;Festival Internacional de Tokyo ; Mejor película: ;2018; Mi vida con Amanda ; Luis Zahera
1067;Festival Internacional de Tokyo ; Mejor película: ;2017; Grain ; Kaltrina Krasniqi
1068;Festival Internacional de Tokyo ; Mejor película: ;2016; Las flores de antaño ; Teuta Ajdini
1069;Festival Internacional de Tokyo ; Mejor película: ;2015; Nise: El corazón de la locura ; Alketa Sylaj
1070;Festival Internacional de Tokyo ; Mejor película: ;2014; Heaven Knows What ; Refet Abazi
1071;Festival Internacional de Tokyo ; Mejor película: ;2013; We Are the Best! ; Frelle Petersen
1072;Festival Internacional de Tokyo ; Mejor película: ;2012; El hijo del otro ; Jette Søndergaard
1073;Festival Internacional de Tokyo ; Mejor película: ;2011; Intocable ; Peter Hansen Tygesen
1074;Festival Internacional de Tokyo ; Mejor película: ;2010; Gramática íntima ; Ole Caspersen
1075;Festival Internacional de Tokyo ; Mejor película: ;2009; Eastern Plays ; Tue Frisk Petersen
1076;Festival Internacional de Tokyo ; Mejor película: ;2008; Tulpan ; Mikhaël Hers
1077;Festival Internacional de Tokyo ; Mejor película: ;2007; La banda nos visita ; Vincent Lacoste
1078;Festival Internacional de Tokyo ; Mejor película: ;2006; OSS 117: El Cairo, nido de espías ; Isaure Multrier
1079;Festival Internacional de Tokyo ; Mejor película: ;2005; What the Snow Brings ; Stacy Martin
1080;Festival Internacional de Tokyo ; Mejor película: ;2004; Whisky ; Semih Kaplanoglu
1081;Festival Internacional de Tokyo ; Mejor película: ;2003; Nuan ; Jean-Marc Barr
1082;Festival Internacional de Tokyo ; Mejor película: ;2002; Knafayim Shvurot (Broken Wings) ; Ermin Bravo
1083;Festival Internacional de Tokyo ; Mejor película: ;2001; Slogans ; Grigoriy Dobrygin
1084;Festival Internacional de Tokyo ; Mejor película: ;2000; Amores perros ; Chris Kraus
1085;Festival Internacional de Tokyo ; Mejor película: ;1999; Darkness and Light ; Lars Eidinger
1086;Festival Internacional de Tokyo ; Mejor película: ;1998; Abre los ojos ; Adèle Haenel
1087;Festival Internacional de Tokyo ; Mejor película: ;1997; Más allá del silencio ; Jan Josef Liefers
1088;Festival Internacional de Tokyo ; Mejor película: ;1996; El círculo perfecto ; Roberto Berliner
1089;Festival Internacional de Tokyo ; Mejor película: ;1995; Kolya ; Glória Pires
1090;Festival Internacional de Tokyo ; Mejor película: ;1994; The Day the Sun Turned Cold ; Simone Mazzer
1091;Festival Internacional de Tokyo ; Mejor película: ;1993; La cometa azul ; Julio Adrião
1092;Festival Internacional de Tokyo ; Mejor película: ;1992; White Badge ; Ben Safdie
1093;Festival Internacional de Tokyo ; Mejor película: ;1991; Ciudad de esperanza ; Joshua Safdie
1094;Festival Internacional de Tokyo ; Mejor película: ;1989; That Summer of White Roses ; Arielle Holmes
1095;Festival Internacional de Tokyo ; Mejor película: ;1987; Viejo pozo ; Caleb Landry Jones
1096;Festival Internacional de Tokyo ; Mejor película: ;1985; Typhoon Club ; Buddy Duress
1097;Festival Internacional de Tokyo ; Premio Especial del Jurado: ;2022; World War III ; Houman Seyyedi
1098;Festival Internacional de Tokyo ; Premio Especial del Jurado: ;2021; Atlantis ; Mohsen Tanabandeh
1099;Festival Internacional de Tokyo ; Premio Especial del Jurado: ;2019; Hotel Hibiscus ; Neda Jebraeili
1100;Festival Internacional de Tokyo ; Premio Especial del Jurado: ;2018; Under the Moonlight ; Mahsa Hejazi
1101;Festival Internacional de Tokyo ; Premio Especial del Jurado: ;2017; La virgen desnudada por sus pretendientes ; Navid Nosrati
1102;Festival Internacional de Tokyo ; Premio Especial del Jurado: ;2016; Rainbow Trout ; Valentyn Vasyanovych
1103;Premios Oscars ; Mejor película: ;2023; Todo a la vez en todas partes ; Dan Kwan
1104;Premios Oscars ; Mejor película: ;2022; CODA: Los sonidos del silencio ; Daniel Scheinert
1105;Premios Oscars ; Mejor película: ;2021; Nomadland ; Daniels
1106;Premios Oscars ; Mejor película: ;2020; Parásitos ; Michelle Yeoh
1107;Premios Oscars ; Mejor película: ;2019; Green Book ; Ke Huy Quan
1108;Premios Oscars ; Mejor película: ;2018; La forma del agua ; Jamie Lee Curtis
1109;Premios Oscars ; Mejor película: ;2017; Moonlight ; Siân Heder
1110;Premios Oscars ; Mejor película: ;2016; Spotlight ; Emilia Jones
1111;Premios Oscars ; Mejor película: ;2015; Birdman o (La inesperada virtud de la ignorancia) ; Troy Kotsur
1112;Premios Oscars ; Mejor película: ;2014; 12 años de esclavitud ; Marlee Matlin
1113;Premios Oscars ; Mejor película: ;2013; Argo ; Chloé Zhao
1114;Premios Oscars ; Mejor película: ;2012; The Artist ; Frances McDormand
1115;Premios Oscars ; Mejor película: ;2011; El discurso del Rey ; David Strathairn
1116;Premios Oscars ; Mejor película: ;2010; En tierra hostil ; Linda May
1117;Premios Oscars ; Mejor película: ;2009; Slumdog Millionaire ; Bong Joon-ho
1118;Premios Oscars ; Mejor película: ;2008; No es país para viejos ; Song Kang-ho
1119;Premios Oscars ; Mejor película: ;2007; Infiltrados ; Lee Sun-Kyun
1120;Premios Oscars ; Mejor película: ;2006; Crash (Colisión) ; Jang Hye-jin
1121;Premios Oscars ; Mejor película: ;2005; Million Dollar Baby ; Peter Farrelly
1122;Premios Oscars ; Mejor película: ;2004; El señor de los anillos: El retorno del rey ; Viggo Mortensen
1123;Premios Oscars ; Mejor película: ;2003; Chicago ; Mahershala Ali
1124;Premios Oscars ; Mejor película: ;2002; Una mente maravillosa ; Iqbal Theba
1125;Premios Oscars ; Mejor película: ;2001; Gladiator ; Guillermo del Toro
1126;Premios Oscars ; Mejor película: ;2000; American Beauty ; Sally Hawkins
1127;Premios Oscars ; Mejor película: ;1999; Shakespeare enamorado ; Doug Jones
1128;Premios Oscars ; Mejor película: ;1998; Titanic ; Michael Shannon
1129;Premios Oscars ; Mejor película: ;1997; El paciente inglés ; Barry Jenkins
1130;Premios Oscars ; Mejor película: ;1996; Braveheart ; Trevante Rhodes
1131;Premios Oscars ; Mejor película: ;1995; Forrest Gump ; Naomie Harris
1132;Premios Oscars ; Mejor película: ;1994; La lista de Schindler ; Mahershala Ali
1133;Premios Oscars ; Mejor película: ;1993; Sin perdón ; Tom McCarthy
1134;Premios Oscars ; Mejor película: ;1992; El silencio de los corderos ; Michael Keaton
1135;Premios Oscars ; Mejor película: ;1991; Bailando con lobos ; Mark Ruffalo
1136;Premios Oscars ; Mejor película: ;1990; Paseando a Miss Daisy ; Rachel McAdams
1137;Premios Oscars ; Mejor película: ;1989; Rain Man ; Alejandro González Iñárritu
1138;Premios Oscars ; Mejor película: ;1988; El último emperador ; Michael Keaton
1139;Premios Oscars ; Mejor película: ;1987; Platoon ; Emma Stone
1140;Premios Oscars ; Mejor película: ;1986; Memorias de África ; Edward Norton
1141;Premios Oscars ; Mejor película: ;1985; Amadeus ; Steve McQueen
1142;Premios Oscars ; Mejor película: ;1984; La fuerza del cariño ; Chiwetel Ejiofor
1143;Premios Oscars ; Mejor película: ;1983; Gandhi ; Michael Fassbender
1144;Premios Oscars ; Mejor película: ;1982; Carros de fuego ; Lupita Nyong'o
1145;Premios Oscars ; Mejor película: ;1981; Gente corriente ; Ben Affleck
1146;Premios Oscars ; Mejor película: ;1980; Kramer contra Kramer ; Ben Affleck
1147;Premios Oscars ; Mejor película: ;1979; El cazador ; John Goodman
1148;Premios Oscars ; Mejor película: ;1978; Annie Hall ; Alan Arkin
1149;Premios Oscars ; Mejor película: ;1977; Rocky ; Michel Hazanavicius
1150;Premios Oscars ; Mejor película: ;1976; Alguien voló sobre el nido del cuco ; Jean Dujardin
1151;Premios Oscars ; Mejor película: ;1975; El padrino. Parte II ; Bérénice Bejo
1152;Premios Oscars ; Mejor película: ;1974; El golpe ; James Cromwell
1153;Premios Oscars ; Mejor película: ;1973; El padrino ; Tom Hooper
1154;Premios Oscars ; Mejor película: ;1972; The French Connection. Contra el imperio de la droga ; Colin Firth
1155;Premios Oscars ; Mejor película: ;1971; Patton ; Helena Bonham Carter
1156;Premios Oscars ; Mejor película: ;1970; Cowboy de medianoche ; Geoffrey Rush
1157;Premios Oscars ; Mejor película: ;1969; Oliver ; Kathryn Bigelow
1158;Premios Oscars ; Mejor película: ;1968; En el calor de la noche ; Jeremy Renner
1159;Premios Oscars ; Mejor película: ;1967; Un hombre para la eternidad ; Anthony Mackie
1160;Premios Oscars ; Mejor película: ;1966; Sonrisas y lágrimas ; Brian Geraghty
1161;Premios Oscars ; Mejor película: ;1965; My Fair Lady (Mi bella dama) ; Danny Boyle
1162;Premios Oscars ; Mejor película: ;1964; Tom Jones ; Loveleen Tandan
1163;Premios Oscars ; Mejor película: ;1963; Lawrence de Arabia ; Dev Patel
1164;Premios Oscars ; Mejor película: ;1962; West Side Story (Amor sin barreras) ; Freida Pinto
1165;Premios Oscars ; Mejor película: ;1961; El apartamento ; Madhur Mittal
1166;Premios Oscars ; Mejor película: ;1960; Ben-Hur ; Joel Coen
1167;Premios Oscars ; Mejor película: ;1959; Gigi ; Ethan Coen
1168;Premios Oscars ; Mejor película: ;1958; El puente sobre el río Kwai ; Josh Brolin
1169;Premios Oscars ; Mejor película: ;1957; La vuelta al mundo en 80 días ; Tommy Lee Jones
1170;Premios Oscars ; Mejor película: ;1956; Marty ; Javier Bardem
1171;Premios Oscars ; Mejor película: ;1955; La ley del silencio ; Martin Scorsese
1172;Premios Oscars ; Mejor película: ;1954; De aquí a la eternidad ; Leonardo DiCaprio
1173;Premios Oscars ; Mejor película: ;1953; El mayor espectáculo del mundo ; Matt Damon
1174;Premios Oscars ; Mejor película: ;1952; Un americano en París ; Jack Nicholson
1175;Premios Oscars ; Mejor película: ;1951; Eva al desnudo ; Paul Haggis
1176;Premios Oscars ; Mejor película: ;1950; El político ; Sandra Bullock
1177;Premios Oscars ; Mejor película: ;1949; Hamlet ; Don Cheadle
1178;Premios Oscars ; Mejor película: ;1948; La barrera invisible ; Matt Dillon
1179;Premios Oscars ; Mejor película: ;1947; Los mejores años de nuestra vida ; Clint Eastwood
1180;Premios Oscars ; Mejor película: ;1946; Días sin huella ; Clint Eastwood
1181;Premios Oscars ; Mejor película: ;1945; Siguiendo mi camino ; Hilary Swank
1182;Premios Oscars ; Mejor película: ;1944; Casablanca ; Morgan Freeman
1183;Premios Oscars ; Mejor película: ;1943; La señora Miniver ; Peter Jackson
1184;Premios Oscars ; Mejor película: ;1942; ¡Qué verde era mi valle! ; Elijah Wood
1185;Premios Oscars ; Mejor película: ;1941; Rebeca ; Viggo Mortensen
1186;Premios Oscars ; Mejor película: ;1940; Lo que el viento se llevó ; Ian McKellen
1187;Premios Oscars ; Mejor película: ;1939; Vive como quieras ; Rob Marshall
1188;Premios Oscars ; Mejor película: ;1938; La vida de Émile Zola ; Renée Zellweger
1189;Premios Oscars ; Mejor película: ;1937; El gran Ziegfeld ; Catherine Zeta-Jones
1190;Premios Oscars ; Mejor película: ;1936; La tragedia de la Bounty ; Richard Gere
1191;Premios Oscars ; Mejor película: ;1935; Sucedió una noche ; Ron Howard
1192;Premios Oscars ; Mejor película: ;1934; Cabalgata ; Russell Crowe
1193;Premios Oscars ; Mejor película: ;1933; Gran Hotel ; Jennifer Connelly
1194;Premios Oscars ; Mejor película: ;1932; Cimarrón ; Ed Harris
1195;Premios Oscars ; Mejor película: ;1931; Sin novedad en el frente ; Ridley Scott
1196;Premios Oscars ; Mejor película: ;1930; La melodía de Broadway ; Russell Crowe
1197;Premios Oscars ; Mejor película: ;1929; Alas ; Joaquin Phoenix
1198;Premios Oscars ; Mejor dirección: ;2023; Todo a la vez en todas partes ; Dan Kwan
1199;Premios Oscars ; Mejor dirección: ;2022; El poder del perro ; Daniel Scheinert
1200;Premios Oscars ; Mejor dirección: ;2021; Nomadland ; Daniels
1201;Premios Oscars ; Mejor dirección: ;2020; Parásitos ; Michelle Yeoh
1202;Premios Oscars ; Mejor dirección: ;2019; Roma ; Ke Huy Quan
1203;Premios Oscars ; Mejor dirección: ;2018; La forma del agua ; Jamie Lee Curtis
1204;Premios Oscars ; Mejor dirección: ;2017; La ciudad de las estrellas (La La Land) ; Jane Campion
1205;Premios Oscars ; Mejor dirección: ;2016; El renacido ; Benedict Cumberbatch
1206;Premios Oscars ; Mejor dirección: ;2015; Birdman o (La inesperada virtud de la ignorancia) ; Jesse Plemons
1207;Premios Oscars ; Mejor dirección: ;2014; Gravity ; Kirsten Dunst
1208;Premios Oscars ; Mejor dirección: ;2013; La vida de Pi ; Chloé Zhao
1209;Premios Oscars ; Mejor dirección: ;2012; The Artist ; Frances McDormand
1210;Premios Oscars ; Mejor dirección: ;2011; El discurso del Rey ; David Strathairn
1211;Premios Oscars ; Mejor dirección: ;2010; En tierra hostil ; Linda May
1212;Premios Oscars ; Mejor dirección: ;2009; Slumdog Millionaire ; Bong Joon-ho
1213;Premios Oscars ; Mejor dirección: ;2008; No es país para viejos ; Song Kang-ho
1214;Premios Oscars ; Mejor dirección: ;2007; Infiltrados ; Lee Sun-Kyun
1215;Premios Oscars ; Mejor dirección: ;2006; Brokeback Mountain (En terreno vedado) ; Jang Hye-jin
1216;Premios Oscars ; Mejor dirección: ;2005; Million Dollar Baby ; Alfonso Cuarón
1217;Premios Oscars ; Mejor dirección: ;2004; El señor de los anillos: El retorno del rey ; Yalitza Aparicio
1218;Premios Oscars ; Mejor dirección: ;2003; El pianista ; Marina de Tavira
1219;Premios Oscars ; Mejor dirección: ;2002; Una mente maravillosa ; Marco Graf
1220;Premios Oscars ; Mejor dirección: ;2001; Traffic ; Guillermo del Toro
1221;Premios Oscars ; Mejor dirección: ;2000; American Beauty ; Sally Hawkins
1222;Premios Oscars ; Mejor dirección: ;1999; Salvar al soldado Ryan ; Doug Jones
1223;Premios Oscars ; Mejor dirección: ;1998; Titanic ; Michael Shannon
1224;Premios Oscars ; Mejor dirección: ;1997; El paciente inglés ; Damien Chazelle
1225;Premios Oscars ; Mejor dirección: ;1996; Braveheart ; Emma Stone
1226;Premios Oscars ; Mejor dirección: ;1995; Forrest Gump ; Ryan Gosling
1227;Premios Oscars ; Mejor dirección: ;1994; La lista de Schindler ; John Legend
1228;Premios Oscars ; Mejor dirección: ;1993; Sin perdón ; Alejandro González Iñárritu
1229;Premios Oscars ; Mejor dirección: ;1992; El silencio de los corderos ; Leonardo DiCaprio
1230;Premios Oscars ; Mejor dirección: ;1991; Bailando con lobos ; Tom Hardy
1231;Premios Oscars ; Mejor dirección: ;1990; Nacido el cuatro de julio ; Domhnall Gleeson
1232;Premios Oscars ; Mejor dirección: ;1989; Rain Man ; Alejandro González Iñárritu
1233;Premios Oscars ; Mejor dirección: ;1988; El último emperador ; Michael Keaton
1234;Premios Oscars ; Mejor dirección: ;1987; Platoon ; Emma Stone
1235;Premios Oscars ; Mejor dirección: ;1986; Memorias de África ; Edward Norton
1236;Premios Oscars ; Mejor dirección: ;1985; Amadeus ; Alfonso Cuarón
1237;Premios Oscars ; Mejor dirección: ;1984; La fuerza del cariño ; Sandra Bullock
1238;Premios Oscars ; Mejor dirección: ;1983; Gandhi ; George Clooney
1239;Premios Oscars ; Mejor dirección: ;1982; Rojos ; Ed Harris
1240;Premios Oscars ; Mejor dirección: ;1981; Gente corriente ; Ang Lee
1241;Premios Oscars ; Mejor dirección: ;1980; Kramer contra Kramer ; Suraj Sharma
1242;Premios Oscars ; Mejor dirección: ;1979; El cazador ; Irrfan Khan
1243;Premios Oscars ; Mejor dirección: ;1978; Annie Hall ; Rafe Spall
1244;Premios Oscars ; Mejor dirección: ;1977; Rocky ; Michel Hazanavicius
1245;Premios Oscars ; Mejor dirección: ;1976; Alguien voló sobre el nido del cuco ; Jean Dujardin
1246;Premios Oscars ; Mejor dirección: ;1975; El padrino. Parte II ; Bérénice Bejo
1247;Premios Oscars ; Mejor dirección: ;1974; El golpe ; James Cromwell
1248;Premios Oscars ; Mejor dirección: ;1973; Cabaret ; Tom Hooper
1249;Premios Oscars ; Mejor dirección: ;1972; The French Connection. Contra el imperio de la droga ; Colin Firth
1250;Premios Oscars ; Mejor dirección: ;1971; Patton ; Helena Bonham Carter
1251;Premios Oscars ; Mejor dirección: ;1970; Cowboy de medianoche ; Geoffrey Rush
1252;Premios Oscars ; Mejor dirección: ;1969; Oliver ; Kathryn Bigelow
1253;Premios Oscars ; Mejor dirección: ;1968; El graduado ; Jeremy Renner
1254;Premios Oscars ; Mejor dirección: ;1967; Un hombre para la eternidad ; Anthony Mackie
1255;Premios Oscars ; Mejor dirección: ;1966; Sonrisas y lágrimas ; Brian Geraghty
1256;Premios Oscars ; Mejor dirección: ;1965; My Fair Lady (Mi bella dama) ; Danny Boyle
1257;Premios Oscars ; Mejor dirección: ;1964; Tom Jones ; Loveleen Tandan
1258;Premios Oscars ; Mejor dirección: ;1963; Lawrence de Arabia ; Dev Patel
1259;Premios Oscars ; Mejor dirección: ;1962; West Side Story (Amor sin barreras) ; Freida Pinto
1260;Premios Oscars ; Mejor dirección: ;1961; El apartamento ; Madhur Mittal
1261;Premios Oscars ; Mejor dirección: ;1960; Ben-Hur ; Joel Coen
1262;Premios Oscars ; Mejor dirección: ;1959; Gigi ; Ethan Coen
1263;Premios Oscars ; Mejor dirección: ;1958; El puente sobre el río Kwai ; Josh Brolin
1264;Premios Oscars ; Mejor dirección: ;1957; Gigante ; Tommy Lee Jones
1265;Premios Oscars ; Mejor dirección: ;1956; Marty ; Javier Bardem
1266;Premios Oscars ; Mejor dirección: ;1955; La ley del silencio ; Martin Scorsese
1267;Premios Oscars ; Mejor dirección: ;1954; De aquí a la eternidad ; Leonardo DiCaprio
1268;Premios Oscars ; Mejor dirección: ;1953; El hombre tranquilo ; Matt Damon
1269;Premios Oscars ; Mejor dirección: ;1952; Un lugar en el sol ; Jack Nicholson
1270;Premios Oscars ; Mejor dirección: ;1951; Eva al desnudo ; Ang Lee
1271;Premios Oscars ; Mejor dirección: ;1950; Carta a tres esposas ; Heath Ledger
1272;Premios Oscars ; Mejor dirección: ;1949; El tesoro de Sierra Madre ; Jake Gyllenhaal
1273;Premios Oscars ; Mejor dirección: ;1948; La barrera invisible ; Anne Hathaway
1274;Premios Oscars ; Mejor dirección: ;1947; Los mejores años de nuestra vida ; Clint Eastwood
1275;Premios Oscars ; Mejor dirección: ;1946; Días sin huella ; Clint Eastwood
1276;Premios Oscars ; Mejor dirección: ;1945; Siguiendo mi camino ; Hilary Swank
1277;Premios Oscars ; Mejor dirección: ;1944; Casablanca ; Morgan Freeman
1278;Premios Oscars ; Mejor dirección: ;1943; La señora Miniver ; Peter Jackson
1279;Premios Oscars ; Mejor dirección: ;1942; ¡Qué verde era mi valle! ; Elijah Wood
1280;Premios Oscars ; Mejor dirección: ;1941; Las uvas de la ira ; Viggo Mortensen
1281;Premios Oscars ; Mejor dirección: ;1940; Lo que el viento se llevó ; Ian McKellen
