id;festival;categoria;año;premiado_a;pelicula
286;Premios Razzie ; Peor película: ;2001; Bruce Schooley; Freddy el colgao 
287;Premios Razzie ; Peor película: ;2000; Rebekah Turner; Campo de batalla: La Tierra 
288;Premios Razzie ; Peor película: ;1999; David Guyette; Wild Wild West 
289;Premios Razzie ; Peor película: ;1998; Sam Taylor-Johnson; ¡Arde Hollywood! 
290;Premios Razzie ; Peor película: ;1997; Dakota Johnson; Mensajero del futuro 
291;Premios Razzie ; Peor película: ;1996; Jamie Dornan; Striptease 
292;Premios Razzie ; Peor película: ;1995; Max Martini; Showgirls 
293;Premios Razzie ; Peor película: ;1994; Josh Trank; El color de la noche 
294;Premios Razzie ; Peor película: ;1993; Miles Teller; Una proposición indecente 
295;Premios Razzie ; Peor película: ;1992; Kate Mara; Resplandor en la oscuridad 
296;Premios Razzie ; Peor película: ;1991; Michael B. Jordan; El gran halcón 
297;Premios Razzie ; Peor película: ;1990; Darren Doane; Los fantasmas no pueden... hacerlo 
298;Premios Razzie ; Peor película: ;1989; Kirk Cameron; Las aventuras de Ford Fairlane 
299;Premios Razzie ; Peor película: ;1988; Bridgette Cameron; Star Trek V. La última frontera 
300;Premios Razzie ; Peor película: ;1987; Darren Doane; Cocktail 
301;Premios Razzie ; Peor película: ;1986; James Gunn; Leonard Part 6 
302;Premios Razzie ; Peor película: ;1985; Peter Farrelly; Under the Cherry Moon 
303;Premios Razzie ; Peor película: ;1984; Griffin Dunne; Howard, un nuevo héroe 
304;Premios Razzie ; Peor película: ;1983; Elizabeth Banks; Rambo: Acorralado Parte II (Rambo 2) 
305;Premios Razzie ; Peor película: ;1982; Kristen Bell; Bolero 
306;Premios Razzie ; Peor película: ;1981; Halle Berry; The Lonely Lady 
307;Premios Razzie ; Peor dirección: ;2023; Machine Gun Kelly; Good Mourning 
308;Premios Razzie ; Peor dirección: ;2022; Mod Sun; Lady Di: El musical 
309;Premios Razzie ; Peor dirección: ;2021; Machine Gun Kelly; Music 
310;Premios Razzie ; Peor dirección: ;2020; Megan Fox; Cats 
311;Premios Razzie ; Peor dirección: ;2019; Pete Davidson; Holmes & Watson 
312;Premios Razzie ; Peor dirección: ;2018; Christopher Ashley; Emoji: La película 
313;Premios Razzie ; Peor dirección: ;2017; Jeanna de Waal; Hillary's America: The Secret History of the Democratic Party 
314;Premios Razzie ; Peor dirección: ;2016; Erin Davie; Cuatro Fantásticos 
315;Premios Razzie ; Peor dirección: ;2015; Roe Hartrampf; Transformers: La era de la extinción 
316;Premios Razzie ; Peor dirección: ;2014; Sia; Movie 43 
317;Premios Razzie ; Peor dirección: ;2013; Kate Hudson; La saga Crepúsculo: Amanecer - Parte 2 
318;Premios Razzie ; Peor dirección: ;2012; Maddie Ziegler; Sígueme el rollo 
319;Premios Razzie ; Peor dirección: ;2011; Leslie Odom Jr.; Jack y su gemela (Jack y Jill) 
320;Premios Razzie ; Peor dirección: ;2010; Tom Hooper; Airbender, el último guerrero 
321;Premios Razzie ; Peor dirección: ;2009; Francesca Hayward; Transformers: La venganza de los caídos 
322;Premios Razzie ; Peor dirección: ;2008; Jennifer Hudson; Postal 
323;Premios Razzie ; Peor dirección: ;2007; Judi Dench; En el nombre del rey 
324;Premios Razzie ; Peor dirección: ;2006; Etan Cohen; Tunnel Rats 
325;Premios Razzie ; Peor dirección: ;2005; Will Ferrell; Sé quién me mató 
326;Premios Razzie ; Peor dirección: ;2004; John C. Reilly; La joven del agua 
327;Premios Razzie ; Peor dirección: ;2003; Lauren Lapkus; Supersalidas 
328;Premios Razzie ; Peor dirección: ;2002; Anthony Leondis; Catwoman 
329;Premios Razzie ; Peor dirección: ;2001; Dinesh D'Souza; Una relación peligrosa (Gigli) 
330;Premios Razzie ; Peor dirección: ;2000; Bruce Schooley; Barridos por la marea 
331;Premios Razzie ; Peor dirección: ;1999; Rebekah Turner; Freddy el colgao 
332;Premios Razzie ; Peor dirección: ;1998; David Guyette; Campo de batalla: La Tierra 
333;Premios Razzie ; Peor dirección: ;1997; Josh Trank; Wild Wild West 
334;Premios Razzie ; Peor dirección: ;1996; Miles Teller; Psycho (Psicosis) 
335;Premios Razzie ; Peor dirección: ;1995; Kate Mara; Mensajero del futuro 
336;Premios Razzie ; Peor dirección: ;1994; Michael B. Jordan; Striptease 
337;Premios Razzie ; Peor dirección: ;1993; Michael Bay; Showgirls 
338;Premios Razzie ; Peor dirección: ;1992; Mark Wahlberg; En tierra peligrosa 
339;Premios Razzie ; Peor dirección: ;1991; Nicola Peltz; Boxing Helena (Mi obsesión por Helena) 
340;Premios Razzie ; Peor dirección: ;1990; Jack Reynor; Resplandor en la oscuridad 
341;Premios Razzie ; Peor dirección: ;1989; James Gunn; El gran halcón 
342;Premios Razzie ; Peor dirección: ;1988; Peter Farrelly; Los fantasmas no pueden... hacerlo 
343;Premios Razzie ; Peor dirección: ;1987; Griffin Dunne; Star Trek V. La última frontera 
344;Premios Razzie ; Peor dirección: ;1986; Elizabeth Banks; Mi amigo Mac 
345;Premios Razzie ; Peor dirección: ;1985; Kristen Bell; Asesinato en Beverly Hills 
346;Premios Razzie ; Peor dirección: ;1984; Halle Berry; Ishtar 
347;Premios Razzie ; Peor dirección: ;1983; Bill Condon; Los hombres duros no bailan 
348;Premios Razzie ; Peor dirección: ;1982; Kristen Stewart; Under the Cherry Moon 
349;Premios Razzie ; Peor dirección: ;1981; Robert Pattinson; Rocky IV 
350;Premios Razzie ; Peor actor: ;2023; Daniel Espinosa; Morbius 
351;Premios Razzie ; Peor actor: ;2022; Jared Leto; Space Jam: Nuevas leyendas 
352;Premios Razzie ; Peor actor: ;2021; Matt Smith; Absolute Proof 
353;Premios Razzie ; Peor actor: ;2020; Joseph Esson; Nacido para ganar 
354;Premios Razzie ; Peor actor: ;2019; Malcolm D. Lee; Fanático 
355;Premios Razzie ; Peor actor: ;2018; LeBron James; Fahrenheit 11/9 
356;Premios Razzie ; Peor actor: ;2017; Sonequa Martin-Green; Death of a Nation 
357;Premios Razzie ; Peor actor: ;2016; Brannon Howse; La momia 
358;Premios Razzie ; Peor actor: ;2015; Mike Lindell; Hillary's America: The Secret History of the Democratic Party 
359;Premios Razzie ; Peor actor: ;2014; Mike Lindell; Cincuenta sombras de Grey 
360;Premios Razzie ; Peor actor: ;2013; Phil Waldron; Saving Christmas 
361;Premios Razzie ; Peor actor: ;2012; Karzan Kader; After Earth 
362;Premios Razzie ; Peor actor: ;2011; John Travolta; Desmadre de padre 
363;Premios Razzie ; Peor actor: ;2010; Shania Twain; Sígueme el rollo 
364;Premios Razzie ; Peor actor: ;2009; Toby Sebastian; Jack y su gemela (Jack y Jill) 
365;Premios Razzie ; Peor actor: ;2008; Fred Durst; Historias de San Valentín 
366;Premios Razzie ; Peor actor: ;2007; John Travolta; Killers 
367;Premios Razzie ; Peor actor: ;2006; Devon Sawa; Jonas Brothers: The 3D Concert Experience 
368;Premios Razzie ; Peor actor: ;2005; Ana Golja; El gurú del buen rollo (The Love Guru) 
369;Premios Razzie ; Peor actor: ;2004; Michael Moore; Norbit 
370;Premios Razzie ; Peor actor: ;2003; Donald Trump; Pequeño pero matón 
371;Premios Razzie ; Peor actor: ;2002; Ivanka Trump; Deuce Bigalow: Gigoló europeo 
372;Premios Razzie ; Peor actor: ;2001; Dinesh D'Souza; Fahrenheit 9/11 
373;Premios Razzie ; Peor actor: ;2000; Donald Trump; Paycheck 
374;Premios Razzie ; Peor actor: ;1999; Don Taylor; Una relación peligrosa (Gigli) 
375;Premios Razzie ; Peor actor: ;1998; Alex Kurtzman; Daredevil 
376;Premios Razzie ; Peor actor: ;1997; Tom Cruise; Pinocho 
377;Premios Razzie ; Peor actor: ;1996; Russell Crowe; Freddy el colgao 
378;Premios Razzie ; Peor actor: ;1995; Annabelle Wallis; Combinación ganadora 
379;Premios Razzie ; Peor actor: ;1994; Dinesh D'Souza; Campo de batalla: La Tierra 
380;Premios Razzie ; Peor actor: ;1993; Bruce Schooley; Un papá genial 
381;Premios Razzie ; Peor actor: ;1992; Rebekah Turner; Estado de sitio 
382;Premios Razzie ; Peor actor: ;1991; David Guyette; Mercury Rising (Al rojo vivo) 
383;Premios Razzie ; Peor actor: ;1990; Sam Taylor-Johnson; Armageddon 
384;Premios Razzie ; Peor actor: ;1989; Dakota Johnson; Mensajero del futuro 
385;Premios Razzie ; Peor actor: ;1988; Jamie Dornan; Bio-Dome 
386;Premios Razzie ; Peor actor: ;1987; Max Martini; La familia Stupid 
387;Premios Razzie ; Peor actor: ;1986; Darren Doane; Carpool, todos al coche 
388;Premios Razzie ; Peor actor: ;1985; Kirk Cameron; Mi querido enemigo 
389;Premios Razzie ; Peor actor: ;1984; Bridgette Cameron; ¿Y dónde está el jurado? 
390;Premios Razzie ; Peor actor: ;1983; Darren Doane; Wyatt Earp 
391;Premios Razzie ; Peor actor: ;1982; M. Night Shyamalan; Un policía y pico 
392;Premios Razzie ; Peor actor: ;1981; Jaden Smith; ¡Alto! o mi madre dispara 
393;Premios Razzie ; Peor actriz: ;2023; Christopher Ashley; Lady Di: El musical 
394;Premios Razzie ; Peor actriz: ;2022; Jeanna de Waal; Music 
395;Premios Razzie ; Peor actriz: ;2021; Erin Davie; The Haunting of Sharon Tate 
396;Premios Razzie ; Peor actriz: ;2020; Roe Hartrampf; El alma de la fiesta 
397;Premios Razzie ; Peor actriz: ;2019; Sia; ¿Quién está matando a los moñecos? 
398;Premios Razzie ; Peor actriz: ;2018; Kate Hudson; Tyler Perry's Boo 2! A Madea Halloween 
399;Premios Razzie ; Peor actriz: ;2017; Maddie Ziegler; Hillary's America: The Secret History of the Democratic Party 
400;Premios Razzie ; Peor actriz: ;2016; Leslie Odom Jr.; Cincuenta sombras de Grey 
401;Premios Razzie ; Peor actriz: ;2015; Daniel Farrands; Sex Tape. Algo pasa en la nube 
402;Premios Razzie ; Peor actriz: ;2014; Hilary Duff; No hay dos sin tres 
403;Premios Razzie ; Peor actriz: ;2013; Jonathan Bennett; A Madea Christmas (AKA Tyler Perry's A Madea Christmas) 
404;Premios Razzie ; Peor actriz: ;2012; Lydia Hearst; La saga Crepúsculo: Amanecer - Parte 2 
405;Premios Razzie ; Peor actriz: ;2011; Ben Falcone; Blancanieves y la leyenda del cazador 
406;Premios Razzie ; Peor actriz: ;2010; Melissa McCarthy; Jack y su gemela (Jack y Jill) 
407;Premios Razzie ; Peor actriz: ;2009; Gillian Jacobs; Sexo en Nueva York 2 
408;Premios Razzie ; Peor actriz: ;2008; Jacki Weaver; Loca obsesión 
409;Premios Razzie ; Peor actriz: ;2007; Brian Henson; La bella y la bestia 
410;Premios Razzie ; Peor actriz: ;2006; Melissa McCarthy; Sé quién me mató 
411;Premios Razzie ; Peor actriz: ;2005; Elizabeth Banks; Sé quién me mató 
412;Premios Razzie ; Peor actriz: ;2004; Maya Rudolph; Instinto Básico 2: adicción al riesgo 
413;Premios Razzie ; Peor actriz: ;2003; Tyler Perry; Supersalidas 
414;Premios Razzie ; Peor actriz: ;2002; Tyler Perry; Catwoman 
415;Premios Razzie ; Peor actriz: ;2001; Brock O'Hurn; Una relación peligrosa (Gigli) 
416;Premios Razzie ; Peor actriz: ;2000; Lexy Panterra; Barridos por la marea 
417;Premios Razzie ; Peor actriz: ;1999; Dinesh D'Souza; Crossroads: Hasta el final 
418;Premios Razzie ; Peor actriz: ;1998; Bruce Schooley; Glitter (Todo lo que brilla) 
419;Premios Razzie ; Peor actriz: ;1997; Rebekah Turner; Algo casi perfecto 
420;Premios Razzie ; Peor actriz: ;1996; David Guyette; El proyecto de la bruja de Blair 
421;Premios Razzie ; Peor actriz: ;1995; Sam Taylor-Johnson; Spiceworld. The Movie 
422;Premios Razzie ; Peor actriz: ;1994; Dakota Johnson; La teniente O'Neil 
423;Premios Razzie ; Peor actriz: ;1993; Jamie Dornan; Striptease 
424;Premios Razzie ; Peor actriz: ;1992; Max Martini; Coacción a un jurado 
425;Premios Razzie ; Peor actriz: ;1991; Jake Kasdan; Showgirls 
426;Premios Razzie ; Peor actriz: ;1990; Cameron Diaz; El especialista 
427;Premios Razzie ; Peor actriz: ;1989; Jason Segel; Entre dos mujeres (Intersection) 
428;Premios Razzie ; Peor actriz: ;1988; Rob Lowe; El cuerpo del delito 
429;Premios Razzie ; Peor actriz: ;1987; Nick Cassavetes; Una extraña entre nosotros 
430;Premios Razzie ; Peor actriz: ;1986; Cameron Diaz; Resplandor en la oscuridad 
431;Premios Razzie ; Peor actriz: ;1985; Leslie Mann; Bésame antes de morir 
432;Premios Razzie ; Peor actriz: ;1984; Kate Upton; Los fantasmas no pueden... hacerlo 
433;Premios Razzie ; Peor actriz: ;1983; Tyler Perry; El regreso de la cosa del pantano 
434;Premios Razzie ; Peor actriz: ;1982; Tyler Perry; Chicago en rojo 
435;Premios Razzie ; Peor actriz: ;1981; Chad Michael Murray; Arthur 2: On the Rocks 
436;Premios Razzie ; Peor actor secundario: ;2023; Baz Luhrmann; Elvis 
437;Premios Razzie ; Peor actor secundario: ;2022; Austin Butler; La casa Gucci 
438;Premios Razzie ; Peor actor secundario: ;2021; Tom Hanks; Borat, película film secuela 
439;Premios Razzie ; Peor actor secundario: ;2020; Olivia DeJonge; Cats 
440;Premios Razzie ; Peor actor secundario: ;2019; Ridley Scott; Holmes & Watson 
441;Premios Razzie ; Peor actor secundario: ;2018; Lady Gaga; Dos padres por desigual 
442;Premios Razzie ; Peor actor secundario: ;2017; Adam Driver; Batman v. Superman: El amanecer de la Justicia 
443;Premios Razzie ; Peor actor secundario: ;2016; Al Pacino; El destino de Júpiter 
444;Premios Razzie ; Peor actor secundario: ;2015; Jason Woliner; Transformers: La era de la extinción 
445;Premios Razzie ; Peor actor secundario: ;2014; Sacha Baron Cohen; Legends of Oz: Dorothy’s Return 
446;Premios Razzie ; Peor actor secundario: ;2013; Maria Bakalova; En qué piensan los hombres 2 
447;Premios Razzie ; Peor actor secundario: ;2012; Dani Popescu; Los mercenarios 3 
448;Premios Razzie ; Peor actor secundario: ;2011; Tom Hooper; After Earth 
449;Premios Razzie ; Peor actor secundario: ;2010; Francesca Hayward; La saga Crepúsculo: Amanecer - Parte 2 
450;Premios Razzie ; Peor actor secundario: ;2009; Jennifer Hudson; Jack y su gemela (Jack y Jill) 
451;Premios Razzie ; Peor actor secundario: ;2008; Judi Dench; La saga Crepúsculo: Eclipse 
452;Premios Razzie ; Peor actor secundario: ;2007; Etan Cohen; Airbender, el último guerrero 
453;Premios Razzie ; Peor actor secundario: ;2006; Will Ferrell; Hannah Montana: La película 
454;Premios Razzie ; Peor actor secundario: ;2005; John C. Reilly; Mamma Mia! La película 
455;Premios Razzie ; Peor actor secundario: ;2004; Lauren Lapkus; Norbit 
456;Premios Razzie ; Peor actor secundario: ;2003; Sean Anders; La joven del agua 
457;Premios Razzie ; Peor actor secundario: ;2002; Will Ferrell; Star Wars. Episodio III: La venganza de los sith 
458;Premios Razzie ; Peor actor secundario: ;2001; Mark Wahlberg; Fahrenheit 9/11 
459;Premios Razzie ; Peor actor secundario: ;2000; Mel Gibson; Spy Kids 3D: Game Over 
460;Premios Razzie ; Peor actor secundario: ;1999; Zack Snyder; Star Wars. Episodio II: El ataque de los clones 
461;Premios Razzie ; Peor actor secundario: ;1998; Ben Affleck; Enredos de sociedad 
462;Premios Razzie ; Peor actor secundario: ;1997; Henry Cavill; El planeta de los simios 
463;Premios Razzie ; Peor actor secundario: ;1996; Amy Adams; Como perros y gatos 
464;Premios Razzie ; Peor actor secundario: ;1995; Lilly Wachowski; Campo de batalla: La Tierra 
465;Premios Razzie ; Peor actor secundario: ;1994; Lana Wachowski; Star Wars. Episodio I: La amenaza fantasma 
466;Premios Razzie ; Peor actor secundario: ;1993; Hermanas Wachowski; ¡Arde Hollywood! 
467;Premios Razzie ; Peor actor secundario: ;1992; Mila Kunis; Double Team 
468;Premios Razzie ; Peor actor secundario: ;1991; Channing Tatum; La isla del Dr. Moreau 
469;Premios Razzie ; Peor actor secundario: ;1990; Eddie Redmayne; Waterworld 
470;Premios Razzie ; Peor actor secundario: ;1989; Michael Bay; Agárralo como puedas 33 1/3: El insulto final 
471;Premios Razzie ; Peor actor secundario: ;1988; Mark Wahlberg; Una proposición indecente 
472;Premios Razzie ; Peor actor secundario: ;1987; Nicola Peltz; Cristóbal Colón: El descubrimiento 
473;Premios Razzie ; Peor actor secundario: ;1986; Jack Reynor; El gran lío 
474;Premios Razzie ; Peor actor secundario: ;1985; Dan St. Pierre; Los fantasmas no pueden... hacerlo 
475;Premios Razzie ; Peor actor secundario: ;1984; Will Finn; Escúchame 
476;Premios Razzie ; Peor actor secundario: ;1983; Tim Story; El club de los chalados II 
477;Premios Razzie ; Peor actor secundario: ;1982; Kevin Hart; Yo, el halcón 
478;Premios Razzie ; Peor actor secundario: ;1981; Gabrielle Union; Under the Cherry Moon 
479;Premios Razzie ; Peor actriz secundaria: ;2023; Daniel Espinosa; Morbius 
480;Premios Razzie ; Peor actriz secundaria: ;2022; Jared Leto; Lady Di: El musical 
481;Premios Razzie ; Peor actriz secundaria: ;2021; Matt Smith; Music 
482;Premios Razzie ; Peor actriz secundaria: ;2020; Joseph Esson; Cats 
483;Premios Razzie ; Peor actriz secundaria: ;2019; Christopher Ashley; Fahrenheit 11/9 
484;Premios Razzie ; Peor actriz secundaria: ;2018; Jeanna de Waal; Cincuenta sombras más oscuras 
485;Premios Razzie ; Peor actriz secundaria: ;2017; Erin Davie; Zoolander No. 2 
486;Premios Razzie ; Peor actriz secundaria: ;2016; Roe Hartrampf; El gurú de las bodas 
487;Premios Razzie ; Peor actriz secundaria: ;2015; Sia; Alvin y las ardillas: Fiesta sobre ruedas 
488;Premios Razzie ; Peor actriz secundaria: ;2014; Kate Hudson; Ninja Turtles (Las Tortugas Ninja) 
489;Premios Razzie ; Peor actriz secundaria: ;2013; Maddie Ziegler; Tyler Perry's Temptation: Confessions of a Marriage Counselor 
490;Premios Razzie ; Peor actriz secundaria: ;2012; Leslie Odom Jr.; Battleship 
491;Premios Razzie ; Peor actriz secundaria: ;2011; Tom Hooper; Jack y su gemela (Jack y Jill) 
492;Premios Razzie ; Peor actriz secundaria: ;2010; Francesca Hayward; Machete 
493;Premios Razzie ; Peor actriz secundaria: ;2009; Jennifer Hudson; El demonio bajo la piel 
494;Premios Razzie ; Peor actriz secundaria: ;2008; Judi Dench; Historias de San Valentín 
495;Premios Razzie ; Peor actriz secundaria: ;2007; Michael Moore; Ahora los padres son ellos 
496;Premios Razzie ; Peor actriz secundaria: ;2006; Donald Trump; G.I. Joe 
497;Premios Razzie ; Peor actriz secundaria: ;2005; Ivanka Trump; Repo! The Genetic Opera 
498;Premios Razzie ; Peor actriz secundaria: ;2004; James Foley; Norbit 
499;Premios Razzie ; Peor actriz secundaria: ;2003; Dakota Johnson; Scary Movie 4 
500;Premios Razzie ; Peor actriz secundaria: ;2002; Jamie Dornan; Date Movie 
501;Premios Razzie ; Peor actriz secundaria: ;2001; Bella Heathcote; La casa de cera 
502;Premios Razzie ; Peor actriz secundaria: ;2000; Ben Stiller; Fahrenheit 9/11 
503;Premios Razzie ; Peor actriz secundaria: ;1999; Ben Stiller; Los ángeles de Charlie: Al límite 
504;Premios Razzie ; Peor actriz secundaria: ;1998; Owen Wilson; Muere otro día 
505;Premios Razzie ; Peor actriz secundaria: ;1997; Will Ferrell; Driven 
506;Premios Razzie ; Peor actriz secundaria: ;1996; Jeremy Garelick; Campo de batalla: La Tierra 
507;Premios Razzie ; Peor actriz secundaria: ;1995; Kaley Cuoco; El mundo nunca es suficiente 
508;Premios Razzie ; Peor actriz secundaria: ;1994; Josh Gad; Godzilla 
509;Premios Razzie ; Peor actriz secundaria: ;1993; Kevin Hart; Batman y Robin 
510;Premios Razzie ; Peor actriz secundaria: ;1992; Walt Becker; Mulholland Falls (La brigada del sombrero) 
511;Premios Razzie ; Peor actriz secundaria: ;1991; Jason Lee; Four Rooms 
512;Premios Razzie ; Peor actriz secundaria: ;1990; Kimberly Williams-Paisley; Los Picapiedra 
513;Premios Razzie ; Peor actriz secundaria: ;1989; Jonathan Liebesman; Dos sabuesos en la isla del edén 
514;Premios Razzie ; Peor actriz secundaria: ;1988; Megan Fox; Coche 54 ¿dónde estás? 
515;Premios Razzie ; Peor actriz secundaria: ;1987; Alan Ritchson; La suplente (Ambición fatal) 
516;Premios Razzie ; Peor actriz secundaria: ;1986; Jeremy Howard; ¡Alto! o mi madre dispara 
517;Premios Razzie ; Peor actriz secundaria: ;1985; Tyler Perry; Bésame antes de morir 
518;Premios Razzie ; Peor actriz secundaria: ;1984; Jurnee Smollett; El padrino. Parte III 
519;Premios Razzie ; Peor actriz secundaria: ;1983; Lance Gross; Los locos del Cannonball 3 
520;Premios Razzie ; Peor actriz secundaria: ;1982; Kim Kardashian; Encrucijada de pasiones 
521;Premios Razzie ; Peor actriz secundaria: ;1981; Peter Berg; Wall Street 
522;Premios Razzie ; Peor guion: ;2023; Andrew Dominik; Blonde 
523;Premios Razzie ; Peor guion: ;2022; Ana de Armas; Lady Di: El musical 
524;Premios Razzie ; Peor guion: ;2021; Adrien Brody; 365 días 
525;Premios Razzie ; Peor guion: ;2020; Bobby Cannavale; Cats 
526;Premios Razzie ; Peor guion: ;2019; Christopher Ashley; Cincuenta sombras liberadas 
527;Premios Razzie ; Peor guion: ;2018; Jeanna de Waal; Emoji: La película 
528;Premios Razzie ; Peor guion: ;2017; Erin Davie; Batman v. Superman: El amanecer de la Justicia 
529;Premios Razzie ; Peor guion: ;2016; Roe Hartrampf; Cincuenta sombras de Grey 
530;Premios Razzie ; Peor guion: ;2015; Barbara Bialowas; Saving Christmas 
531;Premios Razzie ; Peor guion: ;2014; Tomasz Mandes; Movie 43 
532;Premios Razzie ; Peor guion: ;2013; Michele Morrone; Desmadre de padre 
533;Premios Razzie ; Peor guion: ;2012; Anna Maria Sieklucka; Jack y su gemela (Jack y Jill) 
534;Premios Razzie ; Peor guion: ;2011; Bronislaw Wroclawski; Airbender, el último guerrero 
535;Premios Razzie ; Peor guion: ;2010; Tom Hooper; Transformers: La venganza de los caídos 
536;Premios Razzie ; Peor guion: ;2009; Francesca Hayward; El gurú del buen rollo (The Love Guru) 
537;Premios Razzie ; Peor guion: ;2008; Jennifer Hudson; Sé quién me mató 
538;Premios Razzie ; Peor guion: ;2007; Judi Dench; Instinto Básico 2: adicción al riesgo 
539;Premios Razzie ; Peor guion: ;2006; James Foley; Supersalidas 
540;Premios Razzie ; Peor guion: ;2005; Dakota Johnson; Catwoman 
541;Premios Razzie ; Peor guion: ;2004; Jamie Dornan; Una relación peligrosa (Gigli) 
542;Premios Razzie ; Peor guion: ;2003; Eric Johnson; Star Wars. Episodio II: El ataque de los clones 
543;Premios Razzie ; Peor guion: ;2002; Anthony Leondis; Freddy el colgao 
544;Premios Razzie ; Peor guion: ;2001; Zack Snyder; Campo de batalla: La Tierra 
545;Premios Razzie ; Peor guion: ;2000; Ben Affleck; Wild Wild West 
546;Premios Razzie ; Peor guion: ;1999; Henry Cavill; ¡Arde Hollywood! 
547;Premios Razzie ; Peor guion: ;1998; Amy Adams; Mensajero del futuro 
548;Premios Razzie ; Peor guion: ;1997; Sam Taylor-Johnson; Striptease 
549;Premios Razzie ; Peor guion: ;1996; Dakota Johnson; Showgirls 
550;Premios Razzie ; Peor guion: ;1995; Jamie Dornan; Los Picapiedra 
551;Premios Razzie ; Peor guion: ;1994; Max Martini; Una proposición indecente 
552;Premios Razzie ; Peor guion: ;1993; Darren Doane; ¡Alto! o mi madre dispara 
553;Premios Razzie ; Peor guion: ;1992; Kirk Cameron; El gran halcón 
554;Premios Razzie ; Peor guion: ;1991; Bridgette Cameron; Las aventuras de Ford Fairlane 
555;Premios Razzie ; Peor guion: ;1990; Darren Doane; Noches de Harlem 
556;Premios Razzie ; Peor guion: ;1989; James Gunn; Cocktail 
557;Premios Razzie ; Peor guion: ;1988; Peter Farrelly; Leonard Part 6 
558;Premios Razzie ; Peor guion: ;1987; Griffin Dunne; Howard, un nuevo héroe 
559;Premios Razzie ; Peor guion: ;1986; Elizabeth Banks; Rambo: Acorralado Parte II (Rambo 2) 
560;Premios Razzie ; Peor guion: ;1985; Kristen Bell; Bolero 
561;Premios Razzie ; Peor guion: ;1984; Halle Berry; The Lonely Lady 
562;Premios Razzie ; Peor guion: ;1983; Sean Anders; Inchon 
563;Premios Razzie ; Peor guion: ;1982; Adam Sandler; Queridísima mamá 
564;Premios Razzie ; Peor guion: ;1981; Andy Samberg; ¡Que no pare la música! 
565;Premios Razzie ; Peor pareja en pantalla: ;2023; Baz Luhrmann; Elvis 
566;Premios Razzie ; Peor pareja en pantalla: ;2022; Austin Butler; Space Jam: Nuevas leyendas 
567;Premios Razzie ; Peor pareja en pantalla: ;2021; Tom Hanks; Fahrenheit 11/9 
568;Premios Razzie ; Peor pareja en pantalla: ;2020; Olivia DeJonge; Death of a Nation 
569;Premios Razzie ; Peor pareja en pantalla: ;2019; Malcolm D. Lee; Saving Christmas 
570;Premios Razzie ; Peor pareja en pantalla: ;2018; LeBron James; After Earth 
571;Premios Razzie ; Peor pareja en pantalla: ;2017; Sonequa Martin-Green; La saga Crepúsculo: Amanecer - Parte 2 
572;Premios Razzie ; Peor pareja en pantalla: ;2016; Michael Moore; Jack y su gemela (Jack y Jill) 
573;Premios Razzie ; Peor precuela, remake, copia o secuela: ;2023; Robert Zemeckis; Pinocho 
574;Premios Razzie ; Peor precuela, remake, copia o secuela: ;2022; Tom Hanks; Space Jam: Nuevas leyendas 
575;Premios Razzie ; Peor precuela, remake, copia o secuela: ;2021; Cynthia Erivo; Las aventuras del doctor Dolittle 
576;Premios Razzie ; Peor precuela, remake, copia o secuela: ;2020; Luke Evans; Rambo: Last Blood 
577;Premios Razzie ; Peor precuela, remake, copia o secuela: ;2019; Malcolm D. Lee; Holmes & Watson 
578;Premios Razzie ; Peor precuela, remake, copia o secuela: ;2018; LeBron James; Cincuenta sombras más oscuras 
579;Premios Razzie ; Peor precuela, remake, copia o secuela: ;2017; Sonequa Martin-Green; Batman v. Superman: El amanecer de la Justicia 
580;Premios Razzie ; Peor precuela, remake, copia o secuela: ;2016; Stephen Gaghan; Cuatro Fantásticos 
581;Premios Razzie ; Peor precuela, remake, copia o secuela: ;2015; Robert Downey Jr.; Annie 
582;Premios Razzie ; Peor precuela, remake, copia o secuela: ;2014; Antonio Banderas; El Llanero Solitario 
583;Premios Razzie ; Peor precuela, remake, copia o secuela: ;2013; Michael Sheen; La saga Crepúsculo: Amanecer - Parte 2 
584;Premios Razzie ; Peor precuela, remake, copia o secuela: ;2012; Adrian Grunberg; Jack y su gemela (Jack y Jill) 
585;Premios Razzie ; Peor precuela, remake, copia o secuela: ;2011; Sylvester Stallone; Sexo en Nueva York 2 
586;Premios Razzie ; Peor precuela, remake, copia o secuela: ;2010; Paz Vega; El mundo de los perdidos 
587;Premios Razzie ; Peor precuela, remake, copia o secuela: ;2009; Sergio Peris-Mencheta; Indiana Jones y el reino de la calavera de cristal 
