id;festival;categoria;año;premiado_a;pelicula;director
2136;Festival de Sitges ; Mejor banda sonora original: ;1995; Jürgen Fritz ; Delicatessen ; Tim Robbins
2137;Festival de Sitges ; Mejor banda sonora original: ;1994; Michael Nyman ; El poder de un dios ; Takeshi Kitano
2138;Festival de Sitges ; Mejor banda sonora original: ;1993; João Paes ; El cocinero, el ladrón, su mujer y su amante ; Takeshi Kitano
2139;Festival de Sitges ; Mejor banda sonora original: ;1992; Maurice Jarre ; Los caníbales ; Olivier Assayas
2140;Festival de Sitges ; Mejor banda sonora original: ;1991; Richard Band ; Julia y Julia ; Connie Nielsen
2141;Festival de Sitges ; Premio de la Crítica: ;2022; Mejor película ; Something in the Dirt ; Justin Benson
2142;Festival de Sitges ; Premio de la Crítica: ;2021; Mejor cortometraje ; The Newt Congress (C) ; Justin Benson
2143;Festival de Sitges ; Premio de la Crítica: ;2020; Mejor director revelación ; Huesera ; Immanuel Esser
2144;Festival de Sitges ; Mejor película (Sección Panorama): ;2022; (Mención Especial) ; Deadstream ; Joseph Winter
2145;Festival de Sitges ; Mejor cortometraje de animación: ;2022; Premio del público ; Skinned (C) ; Joachim Hérissé
2146;Festival de Sitges ; Mejor cortometraje: ;2022; Mención especial ; The Newt Congress (C) ; Immanuel Esser
2147;Festival de Sitges ; Mejor cortometraje: ;2021; Mención especial ; The Luggage ; Ursula Bienz
2148;Festival de Sitges ; Mejor cortometraje: ;2020; Sección Oficial Fantàstic a Competición ; Rutina: La prohibición (C) ; Tsai Yi-fen
2149;Festival de Sitges ; Mejor película asiática (Focus Àsia): ;2022; Mención especial ; Fuerza bruta ; Lee Sang-yong
2150;Festival de Sitges ; Mejor dirección (Noves Visions): ;2022; Martika Ramirez Escobar ; Leonor Will Never Die ; Martika Ramirez Escobar
2151;Festival de Sitges ; Mejor dirección (SGAE Nova Autoria): ;2022; Ariadna Pastor ; Tornar a Casa (C) ; Ariadna Pastor
2152;Festival de Sitges ; Mejor guion (SGAE Nova Autoria): ;2022; Ariadna Pastor ; Tornar a Casa (C) ; Ariadna Pastor
2153;Festival de Sitges ; Mejor música original (SGAE Nova Autoria): ;2022; Valentín Cremona ; Sweet Side (C) ; Albert García Boté
2154;Festival de Sitges ; Premio Jurado Carnet Jove a la Mejor Película: ;2022; Mejor película (Sitges Documenta) ; No estarás sola ; Goran Stolevski
2155;Festival de Sitges ; Premio Jurado Carnet Jove a la Mejor Película: ;2021; Animación ; Jurassic Punk ; Noomi Rapace
2156;Festival de Sitges ; Premio Jurado Carnet Jove a la Mejor Película: ;2020; Mención especial ; Mona Lisa and the Blood Moon ; Scott Leberecht
2157;Festival de Sitges ; Premio Jurado Carnet Jove a la Mejor Película: ;2019; Mención especial ; She Dies Tomorrow ; Steve 'Spaz' Williams
2158;Festival de Sevilla ; Premio Especial del Jurado: ;2022; Mención especial ; Fuego fatuo ; João Pedro Rodrigues
2159;Festival de Sevilla ; Mejor dirección: ;2022; Pietro Marcello ; Scarlet ; Pietro Marcello
2160;Festival de Sevilla ; Mejor dirección: ;2021; Jonas Carpignano ; Para Chiara ; Raphaël Thierry
2161;Festival de Sevilla ; Mejor dirección: ;2020; Christian Petzold ; Ondina. Un amor para siempre ; Jonas Carpignano
2162;Festival de Sevilla ; Mejor dirección: ;2019; Nadav Lapid ; Sinónimos ; Swamy Rotolo
2163;Festival de Sevilla ; Mejor dirección: ;2018; Yolande Zauberman ; M ; Christian Petzold
2164;Festival de Sevilla ; Mejor dirección: ;2017; Mathieu Amalric ; Barbara ; Paula Beer
2165;Festival de Sevilla ; Mejor dirección: ;2016; Alain Guiraudie ; Rester vertical ; Nadav Lapid
2166;Festival de Sevilla ; Mejor dirección: ;2015; Roberto Minervini ; The Other Side (Louisiana) ; Tom Mercier
2167;Festival de Sevilla ; Mejor dirección: ;2014; Mike Leigh ; Mr. Turner ; Yolande Zauberman
2168;Festival de Sevilla ; Mejor dirección: ;2013; Tsai Ming-liang ; Stray Dogs ; Menahem Lang
2169;Festival de Sevilla ; Mejor dirección: ;2012; Steve McQueen ; Shame ; Mathieu Amalric
2170;Festival de Sevilla ; Mejor dirección: ;2011; Roland Vranik ; En un mundo mejor ; Jeanne Balibar
2171;Festival de Sevilla ; Mejor actor: ;2022; Eden Dambrine ; Close ; Lukas Dhont
2172;Festival de Sevilla ; Mejor actor: ;2021; Franz Rogowski ; Great Freedom (Gran libertad) ; Eden Dambrine
2173;Festival de Sevilla ; Mejor actor: ;2020; Alseni Bathily ; Gagarine ; Sebastian Meise
2174;Festival de Sevilla ; Mejor actor: ;2019; Pierfrancesco Favino ; El traidor ; Franz Rogowski
2175;Festival de Sevilla ; Mejor actor: ;2018; Vincent Lacoste, Pierre Deladonchamps ; Vivir deprisa, amar despacio ; Fanny Liatard
2176;Festival de Sevilla ; Mejor actor: ;2017; Pio Amato ; A Ciambra ; Alseni Bathily
2177;Festival de Sevilla ; Mejor actor: ;2016; Victor Ezenfis ; Le Fils de Joseph ; Marco Bellocchio
2178;Festival de Sevilla ; Mejor actor: ;2015; Teo Corban ; Un piso más abajo ; Pierfrancesco Favino
2179;Festival de Sevilla ; Mejor actor: ;2014; Timothy Spall ; Mr. Turner ; Christophe Honoré
2180;Festival de Sevilla ; Mejor actor: ;2013; Toni Servillo ; La gran belleza ; Vincent Lacoste
2181;Festival de Sevilla ; Mejor actor: ;2012; Yannis Papadopoulos ; Boy Eating the Bird's Food ; Jonas Carpignano
2182;Festival de Sevilla ; Mejor actor: ;2011; Michael Fassbender ; Shame ; Pio Amato
2183;Festival de Sevilla ; Mejor actor: ;2010; August Diehl ; Si no nosotros, ¿quién? ; Eugène Green
2184;Festival de Sevilla ; Mejor actor: ;2009; Rhys Ifans ; Mr. Nice ; Victor Ezenfis
2185;Festival de Sevilla ; Mejor actriz: ;2022; Zar Amir-Ebrahimi ; Holy Spider (Araña sagrada) ; Ali Abbasi
2186;Festival de Sevilla ; Mejor actriz: ;2021; Julie Ledru ; Rodeo ; Zar Amir-Ebrahimi
2187;Festival de Sevilla ; Mejor actriz: ;2020; Lucie Zhang ; París, Distrito 13 ; Lola Quivoron
2188;Festival de Sevilla ; Mejor actriz: ;2019; Petra Martínez ; La vida era eso ; Julie Ledru
2189;Festival de Sevilla ; Mejor actriz: ;2018; Zorica Nusheva ; Dios es mujer y se llama Petrunya ; Jacques Audiard
2190;Festival de Sevilla ; Mejor actriz: ;2017; Marta Nieto ; Madre ; Lucie Zhang
2191;Festival de Sevilla ; Mejor actriz: ;2016; Anwulika Alphonsus ; Joy ; David Martín de los Santos
2192;Festival de Sevilla ; Mejor actriz: ;2015; Selene Caramazza ; Corazón puro ; Petra Martínez
2193;Festival de Sevilla ; Mejor actriz: ;2014; Raph ; La alta sociedad ; Teona Strugar Mitevska
2194;Festival de Sevilla ; Mejor actriz: ;2013; Clotilde Courau ; La sombra de las mujeres ; Zorica Nusheva
2195;Festival de Sevilla ; Mejor actriz: ;2012; Maria Alexandra Lungu ; El país de las maravillas ; Rodrigo Sorogoyen
2196;Festival de Sevilla ; Mejor actriz: ;2011; Arielle Holmes ; Heaven Knows What ; Marta Nieto
2197;Festival de Sevilla ; Mejor actriz: ;2010; Alexandra Finder ; La mujer del policía ; Sudabeh Mortezai
2198;Festival de Sevilla ; Mejor actriz: ;2009; Nermina Lukac ; Come, duerme, muere ; Anwulika Alphonsus
2199;Festival de Sevilla ; Mejor actriz: ;2008; Bien de Moor ; Code Blue ; Roberto De Paolis
2200;Festival de Sevilla ; Mejor actriz: ;2007; Nadehhda Markina ; Elena ; Selene Caramazza
2201;Festival de Sevilla ; Mejor actriz: ;2006; Samira Maas ; Joy ; Bruno Dumont
2202;Festival de Sevilla ; Mejor actriz: ;2005; Sofia Georgovassili ; Black Field ; Fabrice Luchini
2203;Festival de Sevilla ; Mejor guión: ;2022; Alice Diop, Marie NDiaye, Amrita David ; Saint Omer. El pueblo contra Laurence Coly ; Alice Diop
2204;Festival de Sevilla ; Mejor guión: ;2021; Arthur Harari, Vincent Poymiro ; Onoda, 10.000 noches en la jungla ; Kayije Kagame
2205;Festival de Sevilla ; Mejor guión: ;2020; Cristi Puiu ; Malmkrog ; Arthur Harari
2206;Festival de Sevilla ; Mejor guión: ;2019; Corneliu Porumboiu ; La Gomera ; Yuya Endo
2207;Festival de Sevilla ; Mejor guión: ;2018; Milorad Krstic, Radmila Roczkov ; Ruben Brandt, coleccionista ; Cristi Puiu
2208;Festival de Sevilla ; Mejor guión: ;2017; Thierry de Peretti ; A Violent Life ; Agathe Bosch
2209;Festival de Sevilla ; Mejor guión: ;2016; Eugène Green ; Le Fils de Joseph ; Corneliu Porumboiu
2210;Festival de Sevilla ; Mejor guión: ;2015; Alex Baciu ; Un piso más abajo ; Vlad Ivanov
2211;Festival de Sevilla ; Mejor guión: ;2014; Ruben Östlund ; Fuerza mayor ; Milorad Krstic
2212;Festival de Sevilla ; Mejor guión: ;2013; Clio Barnard ; The Selfish Giant ; Thierry de Peretti
2213;Festival de Sevilla ; Mejor guión: ;2012; Ulrich Seidl, Veronika Franz ; Paraíso: Fe ; Jean Michelangeli
2214;Festival de Sevilla ; Mejor guión: ;2011; Susanne Bier, Anders Thomas Jensen ; En un mundo mejor ; Eugène Green
2215;Festival de Sevilla ; Mejor fotografía: ;2022; Mauro Herce ; Matadero ; Santiago Fillol
2216;Festival de Sevilla ; Mejor fotografía: ;2021; Faraz Fesharaki ; ¿Qué vemos cuando miramos al cielo? ; Julio Perillán
2217;Festival de Sevilla ; Mejor fotografía: ;2020; Gianfranco Rosi ; Notturno ; Alexandre Koberidze
2218;Festival de Sevilla ; Mejor fotografía: ;2019; Valentyn Vasyanovych ; Atlantis ; Ani Karseladze
2219;Festival de Sevilla ; Mejor fotografía: ;2018; Víctor Moreno, Jose Alayon ; La ciudad oculta ; Gianfranco Rosi
2220;Festival de Sevilla ; Mejor fotografía: ;2017; Maria von Hausswolff ; Winter Brothers ; Valentyn Vasyanovych
2221;Festival de Sevilla ; Mejor fotografía: ;2016; Robbie Ryan ; American Honey ; Andriy Rymaruk
2222;Festival de Sevilla ; Mejor fotografía: ;2015; Diego Romero ; The Other Side (Louisiana) ; Víctor Moreno
2223;Festival de Sevilla ; Mejor fotografía: ;2014; Mikhail Krichman ; Leviatán ; Hlynur Palmason
2224;Festival de Sevilla ; Mejor fotografía: ;2013; Claire Mathon ; El desconocido del lago ; Lars Mikkelsen
2225;Festival de Sevilla ; Mejor fotografía: ;2012; Mátyás Erdély ; Sister ; Andrea Arnold
2226;Festival de Sevilla ; Mejor montaje: ;2022; Géraldine Mangenot ; Los hijos de otros ; Rebecca Zlotowski
2227;Festival de Sevilla ; Mejor montaje: ;2021; Nicolas Chaudeurge, Rebecca Lloyd, Jacob Schulsinger ; Vaca ; Virginie Efira
2228;Festival Internacional de Tokyo ; Mejor director: ;2022; Rodrigo Sorogoyen ; As bestas ; Rodrigo Sorogoyen
2229;Festival Internacional de Tokyo ; Mejor director: ;2021; Saeed Roostaee ; La ley de Teherán ; Marina Foïs
2230;Festival Internacional de Tokyo ; Mejor director: ;2019; Ruben Östlund ; Play ; Saeed Roostaee
2231;Festival Internacional de Tokyo ; Mejor director: ;2018; Kichitaro Negishi ; What the Snow Brings ; Navid Mohammadzadeh
2232;Festival Internacional de Tokyo ; Mejor director: ;2017; Chung Ji-young ; White Badge ; Ruben Östlund
2233;Festival Internacional de Tokyo ; Mejor actor: ;2022; Denis Ménochet ; As bestas ; Rodrigo Sorogoyen
2234;Festival Internacional de Tokyo ; Mejor actor: ;2021; Navid Mohammadzadeh ; La ley de Teherán ; Marina Foïs
2235;Festival Internacional de Tokyo ; Mejor actor: ;2019; François Cluzet, Omar Sy ; Intocable ; Saeed Roostaee
2236;Festival Internacional de Tokyo ; Mejor actor: ;2018; Koichi Sato ; What the Snow Brings ; Navid Mohammadzadeh
2237;Festival Internacional de Tokyo ; Mejor actriz: ;2022; Aline Küppenheim ;1976; Manuela Martelli
2238;Festival Internacional de Tokyo ; Mejor actriz: ;2021; Nadia Tereszkiewicz ; Solo las bestias ; Aline Küppenheim
2239;Festival Internacional de Tokyo ; Mejor actriz: ;2019; Glenn Close ; Albert Nobbs ; Dóminik Moll
2240;Festival Internacional de Tokyo ; Mejor actriz: ;2018; Jing Tseng, Rene Liu ; Murmur of Youth ; Denis Ménochet
2241;Premios Oscars ; Mejor dirección: ;2023; Dan Kwan, Daniel Scheinert, Daniels ; Todo a la vez en todas partes ; Dan Kwan
2242;Premios Oscars ; Mejor dirección: ;2022; Jane Campion ; El poder del perro ; Michelle Yeoh
2243;Premios Oscars ; Mejor dirección: ;2021; Chloé Zhao ; Nomadland ; Jane Campion
2244;Premios Oscars ; Mejor dirección: ;2020; Bong Joon-ho ; Parásitos ; Benedict Cumberbatch
2245;Premios Oscars ; Mejor dirección: ;2019; Alfonso Cuarón ; Roma ; Chloé Zhao
2246;Premios Oscars ; Mejor dirección: ;2018; Guillermo del Toro ; La forma del agua ; Frances McDormand
2247;Premios Oscars ; Mejor dirección: ;2017; Damien Chazelle ; La ciudad de las estrellas (La La Land) ; Bong Joon-ho
2248;Premios Oscars ; Mejor dirección: ;2016; Alejandro González Iñárritu ; El renacido ; Song Kang-ho
2249;Premios Oscars ; Mejor dirección: ;2015; Alejandro González Iñárritu ; Birdman o (La inesperada virtud de la ignorancia) ; Alfonso Cuarón
2250;Premios Oscars ; Mejor dirección: ;2014; Alfonso Cuarón ; Gravity ; Yalitza Aparicio
2251;Premios Oscars ; Mejor dirección: ;2013; Ang Lee ; La vida de Pi ; Guillermo del Toro
2252;Premios Oscars ; Mejor dirección: ;2012; Michel Hazanavicius ; The Artist ; Sally Hawkins
2253;Premios Oscars ; Mejor dirección: ;2011; Tom Hooper ; El discurso del Rey ; Damien Chazelle
2254;Premios Oscars ; Mejor dirección: ;2010; Kathryn Bigelow ; En tierra hostil ; Emma Stone
2255;Premios Oscars ; Mejor dirección: ;2009; Danny Boyle ; Slumdog Millionaire ; Alejandro González Iñárritu
2256;Premios Oscars ; Mejor dirección: ;2008; Ethan Coen, Joel Coen ; No es país para viejos ; Leonardo DiCaprio
2257;Premios Oscars ; Mejor dirección: ;2007; Martin Scorsese ; Infiltrados ; Alejandro González Iñárritu
2258;Premios Oscars ; Mejor dirección: ;2006; Ang Lee ; Brokeback Mountain (En terreno vedado) ; Michael Keaton
2259;Premios Oscars ; Mejor dirección: ;2005; Clint Eastwood ; Million Dollar Baby ; Alfonso Cuarón
2260;Premios Oscars ; Mejor dirección: ;2004; Peter Jackson ; El señor de los anillos: El retorno del rey ; Sandra Bullock
2261;Premios Oscars ; Mejor dirección: ;2003; Roman Polanski ; El pianista ; Ang Lee
2262;Premios Oscars ; Mejor dirección: ;2002; Ron Howard ; Una mente maravillosa ; Suraj Sharma
2263;Premios Oscars ; Mejor dirección: ;2001; Steven Soderbergh ; Traffic ; Michel Hazanavicius
2264;Premios Oscars ; Mejor dirección: ;2000; Sam Mendes ; American Beauty ; Jean Dujardin
2265;Premios Oscars ; Mejor dirección: ;1999; Steven Spielberg ; Salvar al soldado Ryan ; Tom Hooper
2266;Premios Oscars ; Mejor dirección: ;1998; James Cameron ; Titanic ; Colin Firth
2267;Premios Oscars ; Mejor dirección: ;1997; Anthony Minghella ; El paciente inglés ; Kathryn Bigelow
2268;Premios Oscars ; Mejor dirección: ;1996; Mel Gibson ; Braveheart ; Jeremy Renner
2269;Premios Oscars ; Mejor dirección: ;1995; Robert Zemeckis ; Forrest Gump ; Danny Boyle
2270;Premios Oscars ; Mejor dirección: ;1994; Steven Spielberg ; La lista de Schindler ; Dev Patel
2271;Premios Oscars ; Mejor dirección: ;1993; Clint Eastwood ; Sin perdón ; Joel Coen
2272;Premios Oscars ; Mejor dirección: ;1992; Jonathan Demme ; El silencio de los corderos ; Josh Brolin
2273;Premios Oscars ; Mejor dirección: ;1991; Kevin Costner ; Bailando con lobos ; Martin Scorsese
2274;Premios Oscars ; Mejor dirección: ;1990; Oliver Stone ; Nacido el cuatro de julio ; Leonardo DiCaprio
2275;Premios Oscars ; Mejor dirección: ;1989; Barry Levinson ; Rain Man ; Ang Lee
2276;Premios Oscars ; Mejor dirección: ;1988; Bernardo Bertolucci ; El último emperador ; Heath Ledger
2277;Premios Oscars ; Mejor dirección: ;1987; Oliver Stone ; Platoon ; Clint Eastwood
2278;Premios Oscars ; Mejor dirección: ;1986; Sydney Pollack ; Memorias de África ; Clint Eastwood
2279;Premios Oscars ; Mejor dirección: ;1985; Milos Forman ; Amadeus ; Peter Jackson
2280;Premios Oscars ; Mejor dirección: ;1984; James L. Brooks ; La fuerza del cariño ; Elijah Wood
2281;Premios Oscars ; Mejor dirección: ;1983; Richard Attenborough ; Gandhi ; Roman Polanski
2282;Premios Oscars ; Mejor dirección: ;1982; Warren Beatty ; Rojos ; Adrien Brody
2283;Premios Oscars ; Mejor dirección: ;1981; Robert Redford ; Gente corriente ; Ron Howard
2284;Premios Oscars ; Mejor dirección: ;1980; Robert Benton ; Kramer contra Kramer ; Russell Crowe
2285;Premios Oscars ; Mejor dirección: ;1979; Michael Cimino ; El cazador ; Steven Soderbergh
2286;Premios Oscars ; Mejor dirección: ;1978; Woody Allen ; Annie Hall ; Michael Douglas
2287;Premios Oscars ; Mejor dirección: ;1977; John G. Avildsen ; Rocky ; Sam Mendes
2288;Premios Oscars ; Mejor dirección: ;1976; Milos Forman ; Alguien voló sobre el nido del cuco ; Kevin Spacey
2289;Premios Oscars ; Mejor dirección: ;1975; Francis Ford Coppola ; El padrino. Parte II ; Steven Spielberg
2290;Premios Oscars ; Mejor dirección: ;1974; George Roy Hill ; El golpe ; Tom Hanks
2291;Premios Oscars ; Mejor dirección: ;1973; Bob Fosse ; Cabaret ; James Cameron
2292;Premios Oscars ; Mejor dirección: ;1972; William Friedkin ; The French Connection. Contra el imperio de la droga ; Leonardo DiCaprio
2293;Premios Oscars ; Mejor dirección: ;1971; Franklin J. Schaffner ; Patton ; Anthony Minghella
2294;Premios Oscars ; Mejor dirección: ;1970; John Schlesinger ; Cowboy de medianoche ; Ralph Fiennes
2295;Premios Oscars ; Mejor dirección: ;1969; Carol Reed ; Oliver ; Mel Gibson
2296;Premios Oscars ; Mejor dirección: ;1968; Mike Nichols ; El graduado ; Mel Gibson
2297;Premios Oscars ; Mejor dirección: ;1967; Fred Zinnemann ; Un hombre para la eternidad ; Robert Zemeckis
2298;Premios Oscars ; Mejor dirección: ;1966; Robert Wise ; Sonrisas y lágrimas ; Tom Hanks
2299;Premios Oscars ; Mejor dirección: ;1965; George Cukor ; My Fair Lady (Mi bella dama) ; Steven Spielberg
2300;Premios Oscars ; Mejor dirección: ;1964; Tony Richardson ; Tom Jones ; Liam Neeson
2301;Premios Oscars ; Mejor dirección: ;1963; David Lean ; Lawrence de Arabia ; Clint Eastwood
2302;Premios Oscars ; Mejor dirección: ;1962; Robert Wise, Jerome Robbins ; West Side Story (Amor sin barreras) ; Clint Eastwood
2303;Premios Oscars ; Mejor dirección: ;1961; Billy Wilder ; El apartamento ; Jonathan Demme
2304;Premios Oscars ; Mejor dirección: ;1960; William Wyler ; Ben-Hur ; Jodie Foster
2305;Premios Oscars ; Mejor dirección: ;1959; Vincente Minnelli ; Gigi ; Kevin Costner
2306;Premios Oscars ; Mejor dirección: ;1958; David Lean ; El puente sobre el río Kwai ; Kevin Costner
2307;Premios Oscars ; Mejor dirección: ;1957; George Stevens ; Gigante ; Oliver Stone
2308;Premios Oscars ; Mejor dirección: ;1956; Delbert Mann ; Marty ; Tom Cruise
2309;Premios Oscars ; Mejor dirección: ;1955; Elia Kazan ; La ley del silencio ; Barry Levinson
2310;Premios Oscars ; Mejor dirección: ;1954; Fred Zinnemann ; De aquí a la eternidad ; Dustin Hoffman
2311;Premios Oscars ; Mejor dirección: ;1953; John Ford ; El hombre tranquilo ; Bernardo Bertolucci
2312;Premios Oscars ; Mejor dirección: ;1952; George Stevens ; Un lugar en el sol ; John Lone
2313;Premios Oscars ; Mejor dirección: ;1951; Joseph L. Mankiewicz ; Eva al desnudo ; Oliver Stone
2314;Premios Oscars ; Mejor dirección: ;1950; Joseph L. Mankiewicz ; Carta a tres esposas ; Charlie Sheen
2315;Premios Oscars ; Mejor dirección: ;1949; John Huston ; El tesoro de Sierra Madre ; Sydney Pollack
2316;Premios Oscars ; Mejor dirección: ;1948; Elia Kazan ; La barrera invisible ; Meryl Streep
2317;Premios Oscars ; Mejor dirección: ;1947; William Wyler ; Los mejores años de nuestra vida ; Milos Forman
2318;Premios Oscars ; Mejor dirección: ;1946; Billy Wilder ; Días sin huella ; Tom Hulce
2319;Premios Oscars ; Mejor dirección: ;1945; Leo McCarey ; Siguiendo mi camino ; James L. Brooks
2320;Premios Oscars ; Mejor dirección: ;1944; Michael Curtiz ; Casablanca ; Debra Winger
2321;Premios Oscars ; Mejor dirección: ;1943; William Wyler ; La señora Miniver ; Richard Attenborough
2322;Premios Oscars ; Mejor dirección: ;1942; John Ford ; ¡Qué verde era mi valle! ; Ben Kingsley
2323;Premios Oscars ; Mejor dirección: ;1941; John Ford ; Las uvas de la ira ; Warren Beatty
2324;Premios Oscars ; Mejor dirección: ;1940; Victor Fleming ; Lo que el viento se llevó ; Warren Beatty
2325;Premios Oscars ; Mejor dirección: ;1939; Frank Capra ; Vive como quieras ; Robert Redford
2326;Premios Oscars ; Mejor dirección: ;1938; Leo McCarey ; La pícara puritana ; Donald Sutherland
2327;Premios Oscars ; Mejor dirección: ;1937; Frank Capra ; El secreto de vivir ; Robert Benton
2328;Premios Oscars ; Mejor dirección: ;1936; John Ford ; El delator ; Dustin Hoffman
2329;Premios Oscars ; Mejor dirección: ;1935; Frank Capra ; Sucedió una noche ; Michael Cimino
2330;Premios Oscars ; Mejor dirección: ;1934; Frank Lloyd ; Cabalgata ; Robert De Niro
2331;Premios Oscars ; Mejor dirección: ;1933; Frank Borzage ; Bad Girl ; Woody Allen
2332;Premios Oscars ; Mejor dirección: ;1932; Norman Taurog ; Las peripecias de Skippy ; Woody Allen
2333;Premios Oscars ; Mejor dirección: ;1931; Lewis Milestone ; Sin novedad en el frente ; John G. Avildsen
2334;Premios Oscars ; Mejor dirección: ;1930; Frank Lloyd ; Trafalgar ; Sylvester Stallone
2335;Premios Oscars ; Mejor dirección: ;1929; Frank Borzage ; El séptimo cielo ; Milos Forman
2336;Premios Oscars ; Mejor dirección: ;1928; Lewis Milestone ; Hermanos de armas ; Jack Nicholson
2337;Premios Oscars ; Mejor actriz principal: ;2023; Michelle Yeoh ; Todo a la vez en todas partes ; Dan Kwan
2338;Premios Oscars ; Mejor actriz principal: ;2022; Jessica Chastain ; Los ojos de Tammy Faye ; Michelle Yeoh
2339;Premios Oscars ; Mejor actriz principal: ;2021; Frances McDormand ; Nomadland ; Michael Showalter
2340;Premios Oscars ; Mejor actriz principal: ;2020; Renée Zellweger ; Judy ; Jessica Chastain
2341;Premios Oscars ; Mejor actriz principal: ;2019; Olivia Colman ; La favorita ; Chloé Zhao
2342;Premios Oscars ; Mejor actriz principal: ;2018; Frances McDormand ; Tres anuncios en las afueras ; Frances McDormand
2343;Premios Oscars ; Mejor actriz principal: ;2017; Emma Stone ; La ciudad de las estrellas (La La Land) ; Rupert Goold
2344;Premios Oscars ; Mejor actriz principal: ;2016; Brie Larson ; La habitación ; Renée Zellweger
2345;Premios Oscars ; Mejor actriz principal: ;2015; Julianne Moore ; Siempre Alice ; Yorgos Lanthimos
2346;Premios Oscars ; Mejor actriz principal: ;2014; Cate Blanchett ; Blue Jasmine ; Olivia Colman
2347;Premios Oscars ; Mejor actriz principal: ;2013; Jennifer Lawrence ; El lado bueno de las cosas ; Martin McDonagh
2348;Premios Oscars ; Mejor actriz principal: ;2012; Meryl Streep ; La dama de hierro ; Frances McDormand
2349;Premios Oscars ; Mejor actriz principal: ;2011; Natalie Portman ; Cisne negro ; Damien Chazelle
2350;Premios Oscars ; Mejor actriz principal: ;2010; Sandra Bullock ; The Blind Side (Un sueño posible) ; Emma Stone
2351;Premios Oscars ; Mejor actriz principal: ;2009; Kate Winslet ; The Reader (El lector) ; Lenny Abrahamson
2352;Premios Oscars ; Mejor actriz principal: ;2008; Marion Cotillard ; La vida en rosa ; Brie Larson
2353;Premios Oscars ; Mejor actriz principal: ;2007; Helen Mirren ; The Queen (La reina) ; Richard Glatzer
2354;Premios Oscars ; Mejor actriz principal: ;2006; Reese Witherspoon ; En la cuerda floja ; Julianne Moore
2355;Premios Oscars ; Mejor actriz principal: ;2005; Hilary Swank ; Million Dollar Baby ; Woody Allen
2356;Premios Oscars ; Mejor actriz principal: ;2004; Charlize Theron ; Monster ; Cate Blanchett
2357;Premios Oscars ; Mejor actriz principal: ;2003; Nicole Kidman ; Las horas ; David O. Russell
2358;Premios Oscars ; Mejor actriz principal: ;2002; Halle Berry ; Monster's Ball ; Bradley Cooper
2359;Premios Oscars ; Mejor actriz principal: ;2001; Julia Roberts ; Erin Brockovich ; Phyllida Lloyd
2360;Premios Oscars ; Mejor actriz principal: ;2000; Hilary Swank ; Boys Don't Cry ; Meryl Streep
2361;Premios Oscars ; Mejor actriz principal: ;1999; Gwyneth Paltrow ; Shakespeare enamorado ; Darren Aronofsky
2362;Premios Oscars ; Mejor actriz principal: ;1998; Helen Hunt ; Mejor... imposible ; Natalie Portman
2363;Premios Oscars ; Mejor actriz principal: ;1997; Frances McDormand ; Fargo ; John Lee Hancock
2364;Premios Oscars ; Mejor actriz principal: ;1996; Susan Sarandon ; Pena de muerte ; Sandra Bullock
2365;Premios Oscars ; Mejor actriz principal: ;1995; Jessica Lange ; Las cosas que nunca mueren ; Stephen Daldry
2366;Premios Oscars ; Mejor actriz principal: ;1994; Holly Hunter ; El piano ; Kate Winslet
2367;Premios Oscars ; Mejor actriz principal: ;1993; Emma Thompson ; Regreso a Howards End ; Olivier Dahan
2368;Premios Oscars ; Mejor actriz principal: ;1992; Jodie Foster ; El silencio de los corderos ; Marion Cotillard
2369;Premios Oscars ; Mejor actriz principal: ;1991; Kathy Bates ; Misery ; Stephen Frears
2370;Premios Oscars ; Mejor actriz principal: ;1990; Jessica Tandy ; Paseando a Miss Daisy ; Helen Mirren
2371;Premios Oscars ; Mejor actriz principal: ;1989; Jodie Foster ; Acusados ; James Mangold
2372;Premios Oscars ; Mejor actriz principal: ;1988; Cher ; Hechizo de luna ; Joaquin Phoenix
2373;Premios Oscars ; Mejor actriz principal: ;1987; Marlee Matlin ; Hijos de un dios menor ; Clint Eastwood
2374;Premios Oscars ; Mejor actriz principal: ;1986; Geraldine Page ; Regreso a Bountiful ; Clint Eastwood
2375;Premios Oscars ; Mejor actriz principal: ;1985; Sally Field ; En un lugar del corazón ; Patty Jenkins
2376;Premios Oscars ; Mejor actriz principal: ;1984; Shirley MacLaine ; La fuerza del cariño ; Charlize Theron
2377;Premios Oscars ; Mejor actriz principal: ;1983; Meryl Streep ; La decisión de Sophie ; Stephen Daldry
2378;Premios Oscars ; Mejor actriz principal: ;1982; Katharine Hepburn ; En el estanque dorado ; Meryl Streep
2379;Premios Oscars ; Mejor actriz principal: ;1981; Sissy Spacek ; Quiero ser libre ; Marc Forster
2380;Premios Oscars ; Mejor actriz principal: ;1980; Sally Field ; Norma Rae ; Billy Bob Thornton
2381;Premios Oscars ; Mejor actriz principal: ;1979; Jane Fonda ; El regreso ; Steven Soderbergh
2382;Premios Oscars ; Mejor actriz principal: ;1978; Diane Keaton ; Annie Hall ; Julia Roberts
2383;Premios Oscars ; Mejor actriz principal: ;1977; Faye Dunaway ; Network, un mundo implacable ; Kimberly Peirce
2384;Premios Oscars ; Mejor actriz principal: ;1976; Louise Fletcher ; Alguien voló sobre el nido del cuco ; Hilary Swank
