id;festival;categoria;año;interpretacion;pelicula;director
1048;Festival de Locarno ; Mejor actriz: ;1991; Jana Brejchová ; Higher Principle (Alto principio) ; Maria Kwiatkowsky
1049;Festival de Locarno ; Mejor actriz: ;1990; Hildegard Knef ; Film Without a Title (Film Without a Name) ; Calin Peter Netzer
1050;Festival de Locarno ; Mejor actriz: ;1989; Jennifer Jones ; El pecado de Cluny Brown ; Diana Dumbrava
1051;Festival de Locarno ; Mejor actriz: ;1988; Jennifer Jones ; La canción de Bernadette ; Sabiha Sumar
1055;Festival de Locarno ; Cineasti del Presente - Mejor actriz: ;2022; Anastasiya Karpenko ; How Is Katia? ; Christina Tynkevych
1056;Festival de Locarno ; Cineasti del Presente - Mejor actriz: ;2021; Saskia Rosendahl ; No One’s with the Calves ; Anastasiya Karpenko
1057;Festival de Locarno ; Cineasti del Presente - Mejor actor: ;2022; Goran Markovic ; Safe Place ; Juraj Lerotic
1058;Festival de Locarno ; Cineasti del Presente - Mejor actor: ;2021; Gia Agumava ; Wet Sand ; Goran Markovic
1387;Festival de Valladolid ; Seminci - Mejor actor: ;2022; Ivan Barnev, Karra Elejalde ; Vasil ; Avelina Prat
1388;Festival de Valladolid ; Seminci - Mejor actor: ;2021; Yuriy Borisov ; Compartimento Nº 6 ; Ivan Barnev
1389;Festival de Valladolid ; Seminci - Mejor actor: ;2020; Shai Avivi ; Siempre contigo ; Juho Kuosmanen
1390;Festival de Valladolid ; Seminci - Mejor actor: ;2019; Levan Gelbakhiani ; Solo nos queda bailar ; Seidi Haarla
1391;Festival de Valladolid ; Seminci - Mejor actor: ;2018; Théodore Pellerin ; Génesis ; Nir Bergman
1392;Festival de Valladolid ; Seminci - Mejor actor: ;2017; Brady Jandreau ; The Rider ; Shai Avivi
1393;Festival de Valladolid ; Seminci - Mejor actor: ;2016; Naomi Nero ; Madre sólo hay una ; Levan Akin
1394;Festival de Valladolid ; Seminci - Mejor actor: ;2015; Gunnar Jónsson ; Corazón gigante ; Levan Gelbakhiani
1395;Festival de Valladolid ; Seminci - Mejor actor: ;2014; Niels Arestrup ; Diplomacia ; Philippe Lesage
1396;Festival de Valladolid ; Seminci - Mejor actor: ;2013; Zbigniew Walerys ; Papusza ; Théodore Pellerin
1397;Festival de Valladolid ; Seminci - Mejor actor: ;2012; Matthias Schoenaerts ; De óxido y hueso ; Chloé Zhao
1398;Festival de Valladolid ; Seminci - Mejor actor: ;2011; Patrick Huard ; Starbuck ; Brady Jandreau
1399;Festival de Valladolid ; Seminci - Mejor actor: ;2010; Brendan Gleeson ; El irlandés ; Anna Muylaert
1400;Festival de Valladolid ; Seminci - Mejor actor: ;2009; Jesper Christensen ; Una familia ; Naomi Nero
1401;Festival de Valladolid ; Seminci - Mejor actor: ;2008; Alberto San Juan ; La isla interior ; Dagur Kári
1402;Festival de Valladolid ; Seminci - Mejor actor: ;2007; João Miguel ; Estómago ; Gunnar Jónsson
1403;Festival de Valladolid ; Seminci - Mejor actor: ;2006; Unax Ugalde ; La buena nueva ; Volker Schlöndorff
1404;Festival de Valladolid ; Seminci - Mejor actor: ;2005; Karl Markovics ; Los falsificadores ; André Dussollier
1405;Festival de Valladolid ; Seminci - Mejor actor: ;2004; Lazar Ristovski ; Optimistas ; Joanna Kos-Krauze
1406;Festival de Valladolid ; Seminci - Mejor actor: ;2003; Melvil Poupaud ; El tiempo que queda ; Jowita Budnik
1407;Festival de Valladolid ; Seminci - Mejor actor: ;2002; Ricardo Darín ; Luna de Avellaneda ; Jacques Audiard
1408;Festival de Valladolid ; Seminci - Mejor actor: ;2001; Jamie Sives ; Wilbur se quiere suicidar ; Marion Cotillard
1409;Festival de Valladolid ; Seminci - Mejor actor: ;2000; Héctor Alterio, Federico Luppi, Pepe Soriano ; El último tren (Corazón de fuego) ; Ken Scott
1410;Festival de Valladolid ; Seminci - Mejor actor: ;1999; Peter Gantzler ; Italiano para principiantes ; Patrick Huard
1411;Festival de Valladolid ; Seminci - Mejor actor: ;1998; Damián Alcázar ; La ley de Herodes ; John Michael McDonagh
1412;Festival de Valladolid ; Seminci - Mejor actor: ;1997; Takeshi Kitano (Takeshi Kitano) ; El verano de Kikujiro ; Brendan Gleeson
1413;Festival de Valladolid ; Seminci - Mejor actor: ;1996; Peter Mullan ; Mi nombre es Joe ; Pernille Fischer Christensen
1414;Festival de Valladolid ; Seminci - Mejor actor: ;1995; Nick Nolte ; Aflicción ; Jesper Christensen
1415;Festival de Valladolid ; Seminci - Mejor actor: ;1994; Max von Sydow ; Hamsun ; Félix Sabroso
1416;Festival de Valladolid ; Seminci - Mejor actor: ;1993; Bruno Bichir ; El callejón de los milagros ; Geraldine Chaplin
1417;Festival de Valladolid ; Seminci - Mejor actor: ;1992; Vladimir Vega ; Ladybird, Ladybird ; Marcos Jorge
1418;Festival de Valladolid ; Seminci - Mejor actor: ;1991; Gian Maria Volonté ; Tirano Banderas ; João Miguel
1419;Festival de Valladolid ; Seminci - Mejor actor: ;1990; Harley Cross ; Glengarry Glen Ross (Éxito a cualquier precio) ; Helena Taberna
1420;Festival de Valladolid ; Seminci - Mejor actor: ;1989; Dirk Bogarde ; El niño que gritó puta ; Unax Ugalde
1421;Festival de Valladolid ; Seminci - Mejor actor: ;1988; Antonio Banderas ; Nuestros días felices ; Stefan Ruzowitzky
1422;Festival de Valladolid ; Seminci - Mejor actor: ;1987; Charles Grodin ; La blanca paloma ; Karl Markovics
1423;Festival de Valladolid ; Seminci - Mejor actor: ;1986; Dennis Quaid ; Huida a medianoche ; Goran Paskaljevic
1424;Festival de Valladolid ; Seminci - Mejor actor: ;1985; Bob Hoskins ; Querido detective ; Lazar Ristovski
1425;Festival de Valladolid ; Seminci - Mejor actor: ;1984; Francisco Rabal ; Mona Lisa ; François Ozon
1426;Festival de Valladolid ; Seminci - Mejor actor: ;1983; John Hurt, Richard Burton ; La hora bruja ; Melvil Poupaud
1427;Festival de Valladolid ; Seminci - Mejor actriz: ;2022; Lubna Azabal ; El caftán azul ; Maryam Touzani
1428;Festival de Valladolid ; Seminci - Mejor actriz: ;2021; Yllka Gashi ; Hive (Colmena) ; Saleh Bakri
1429;Festival de Valladolid ; Seminci - Mejor actriz: ;2020; Natasa Stork ; Preparativos para estar juntos un periodo de tiempo desconocido ; Blerta Basholli
1430;Festival de Valladolid ; Seminci - Mejor actriz: ;2019; Carol Duarte ; La vida invisible de Eurídice Gusmão ; Yllka Gashi
1431;Festival de Valladolid ; Seminci - Mejor actriz: ;2018; Júlia Stockler ; La vida invisible de Eurídice Gusmão ; Lili Horvát
1432;Festival de Valladolid ; Seminci - Mejor actriz: ;2017; Halldóra Geirharðsdóttir ; La mujer de la montaña ; Natasa Stork
1433;Festival de Valladolid ; Seminci - Mejor actriz: ;2016; Agnieszka Mandat-Grabka (ex aequo) ; Spoor (El rastro) ; Karim Aïnouz
1434;Festival de Valladolid ; Seminci - Mejor actriz: ;2015; Laetitia Dosch (ex aequo) ; Bienvenida a Montparnasse ; Carol Duarte
1435;Festival de Valladolid ; Seminci - Mejor actriz: ;2014; Micaela Ramazzotti ; Locas de alegría ; Karim Aïnouz
1436;Festival de Valladolid ; Seminci - Mejor actriz: ;2013; Valeria Bruni Tedeschi ; Locas de alegría ; Carol Duarte
1437;Festival de Valladolid ; Seminci - Mejor actriz: ;2012; Charlotte Rampling ; 45 años ; Benedikt Erlingsson
1438;Festival de Valladolid ; Seminci - Mejor actriz: ;2011; Levana Finkelstein ; La fiesta de despedida ; Halldóra Geirharðsdóttir
1439;Festival de Valladolid ; Seminci - Mejor actriz: ;2010; Aliza Rosen ; La fiesta de despedida ; Agnieszka Holland
1440;Festival de Valladolid ; Seminci - Mejor actriz: ;2009; Nora Navas ; Todos queremos lo mejor para ella ; Agnieszka Mandat-Grabka
1441;Festival de Valladolid ; Seminci - Mejor actriz: ;2008; Greisy Mena ; La vida precoz y breve de Sabina Rivas ; Léonor Serraille
1442;Festival de Valladolid ; Seminci - Mejor actriz: ;2007; Elle Fanning ; Ginger & Rosa ; Laetitia Dosch
1443;Festival de Valladolid ; Seminci - Mejor actriz: ;2006; Zhou Dongyu ; Amor bajo el espino blanco ; Paolo Virzì
1444;Festival de Valladolid ; Seminci - Mejor actriz: ;2005; Emma Suárez ; La mosquitera ; Valeria Bruni Tedeschi
1445;Festival de Valladolid ; Seminci - Mejor actriz: ;2004; Trine Dyrholm ; Pequeña soldado ; Paolo Virzì
1446;Festival de Valladolid ; Seminci - Mejor actriz: ;2003; Maria Heiskanen ; Los momentos eternos de Maria Larssons ; Valeria Bruni Tedeschi
1447;Festival de Valladolid ; Seminci - Mejor actriz: ;2002; Jowita Miondlikowska (AKA Jowita Budnik) ; Plaza del Salvador ; Andrew Haigh
1448;Festival de Valladolid ; Seminci - Mejor actriz: ;2001; Laura Linney ; Jindabyne ; Charlotte Rampling
1449;Festival de Valladolid ; Seminci - Mejor actriz: ;2000; Krystyna Feldman ; Mi Nikifor ; Tal Granit
1450;Festival de Valladolid ; Seminci - Mejor actriz: ;1999; Pilar Bardem ; María querida ; Ze'ev Revach
1451;Festival de Valladolid ; Seminci - Mejor actriz: ;1998; Helen Buday ; El proyecto de Alexandra ; Tal Granit
1452;Festival de Valladolid ; Seminci - Mejor actriz: ;1997; Dong Jie ; Happy Times ; Ze'ev Revach
1453;Festival de Valladolid ; Seminci - Mejor actriz: ;1996; Adriana Ozores ; La vida de nadie ; Mar Coll
1454;Festival de Valladolid ; Seminci - Mejor actriz: ;1995; Emma Thompson ; Amar la vida (TV) ; Nora Navas
1455;Festival de Valladolid ; Seminci - Mejor actriz: ;1994; Ariane Ascaride ; La ciudad está tranquila ; Luis Mandoki
1456;Festival de Valladolid ; Seminci - Mejor actriz: ;1993; Linda Basset ; Oriente es oriente ; Greisy Mena
1457;Festival de Valladolid ; Seminci - Mejor actriz: ;1992; Ariadna Gil ; Lágrimas negras ; Sally Potter
1458;Festival de Valladolid ; Seminci - Mejor actriz: ;1991; Pernilla August ; Encuentros privados ; Elle Fanning
1459;Festival de Valladolid ; Seminci - Mejor actriz: ;1990; Antje de Boeck ; Manneken Pis ; Zhang Yimou
1460;Festival de Valladolid ; Seminci - Mejor actriz: ;1989; Joely Richardson ; Mi querida hermana ; Zhou Dongyu
1461;Festival de Valladolid ; Seminci - Mejor actriz: ;1988; Tina Kellegher ; Café irlandés ; Agustí Vila
1462;Festival de Valladolid ; Seminci - Mejor actriz: ;1987; Brigitte Roüan ; Olivier, Olivier ; Emma Suárez
1463;Festival de Valladolid ; Seminci - Mejor actriz: ;1986; María Rojo ; Danzón ; Annette K. Olesen
1464;Festival de Valladolid ; Seminci - Mejor actriz: ;1985; Kerry Fox ; Un ángel en mi mesa ; Trine Dyrholm
1465;Festival de Valladolid ; Seminci - Mejor actriz: ;1984; Isabelle Huppert ; Un asunto de mujeres ; Jan Troell
1466;Festival de Valladolid ; Seminci - Mejor actriz: ;1983; Leonor Manso ; Made in Argentina ; Maria Heiskanen
1467;Festival de Valladolid ; Seminci - Mejor actriz: ;1982; Meryl Streep ; Se acabó el pastel ; Joanna Kos-Krauze
1468;Festival de Valladolid ; Seminci - Mejor actriz: ;1981; Concha Velasco ; La hora bruja ; Jowita Budnik
1469;Festival de Valladolid ; Seminci - Mejor actriz: ;1980; Natalya Andreychenko, Inna Churikova ; Romance en tiempos de guerra ; Ray Lawrence
1654;Festival de Málaga ; Mejor actor: ;2023; Alberto Ammann ; Upon Entry ; Alejandro Rojas
1655;Festival de Málaga ; Mejor actor: ;2022; Leonardo Sbaraglia ; Ámame ; Alberto Ammann
1656;Festival de Málaga ; Mejor actor: ;2021; Roger Casamajor ; El vientre del mar ; Leonardo Brzezicki
1657;Festival de Málaga ; Mejor actor: ;2020; Pablo Echarri ; El silencio del cazador ; Leonardo Sbaraglia
1658;Festival de Málaga ; Mejor actor: ;2019; Alberto Ammann ; El silencio del cazador ; Agustí Villaronga
1659;Festival de Málaga ; Mejor actor: ;2018; Oscar Martínez ; Yo, mi mujer y mi mujer muerta ; Roger Casamajor
1660;Festival de Málaga ; Mejor actor: ;2017; Javier Rey ; Sin fin ; Martín Desalvo
1661;Festival de Málaga ; Mejor actor: ;2016; Leonardo Sbaraglia ; El otro hermano ; Pablo Echarri
1662;Festival de Málaga ; Mejor actor: ;2015; Martin Bacigalupo ; Callback ; Martín Desalvo
1663;Festival de Málaga ; Mejor actor: ;2014; Emilio Palacios (Mención especial) ; Los héroes del mal ; Pablo Echarri
1664;Festival de Málaga ; Mejor actor: ;2013; Ernesto Alterio ; Sexo fácil, películas tristes ; Santi Amodeo
1665;Festival de Málaga ; Mejor actor: ;2012; Juan Diego ; Anochece en la India ; Oscar Martínez
1666;Festival de Málaga ; Mejor actor: ;2011; Mario Casas ; La mula ; César Esteban Alenda
1667;Festival de Málaga ; Mejor actor: ;2010; Antonio Dechent ; A puerta fría ; Javier Rey
1668;Festival de Málaga ; Mejor actor: ;2009; Fernando Tejero ; Cinco metros cuadrados ; Israel Adrián Caetano
1669;Festival de Málaga ; Mejor actor: ;2008; Unax Ugalde ; Bon appétit ; Daniel Hendler
1670;Festival de Málaga ; Mejor actor: ;2007; Eduard Fernández ; Tres días con la familia ; Carles Torras
1671;Festival de Málaga ; Mejor actor: ;2006; Javier Cámara ; Fuera de carta ; Martin Bacigalupo
1672;Festival de Málaga ; Mejor actor: ;2005; Alberto San Juan ; Bajo las estrellas ; Zoe Berriatúa
1673;Festival de Málaga ; Mejor actor: ;2004; Juan Diego ; Remake ; Jorge Clemente
1674;Festival de Málaga ; Mejor actor: ;2003; Eduard Fernández ; Hormigas en la boca ; Alejo Flah
1675;Festival de Málaga ; Mejor actor: ;2002; Pablo Carbonell ; Atún y chocolate ; Quim Gutiérrez
1676;Festival de Málaga ; Mejor actor: ;2001; Javier Cámara ; Torremolinos 73 ; Chema Rodríguez
1677;Festival de Málaga ; Mejor actor: ;2000; Eduard Fernández, Antonio Dechent, Francesc Orella, Francesc Garrido, Juan Diego, Ulises Dumont, Chete Lera, Manuel Morón, Juan Loriente, Pep Molina ; Smoking Room ; Juan Diego
1678;Festival de Málaga ; Mejor actor: ;1999; Biel Durán ; Más pena que gloria ; Michael Radford
1679;Festival de Málaga ; Mejor actor: ;1998; Juan Luis Galiardo ; Adiós con el corazón ; Mario Casas
1680;Festival de Málaga ; Mejor actriz: ;2023; María Vázquez ; Matria ; Álvaro Gago Díaz
1681;Festival de Málaga ; Mejor actriz: ;2022; Susi Sánchez ; Cinco lobitos ; María Vázquez
1682;Festival de Málaga ; Mejor actriz: ;2021; Laia Costa ; Cinco lobitos ; Alauda Ruiz de Azúa
1683;Festival de Málaga ; Mejor actriz: ;2020; Tamara Casellas ; Ama ; Laia Costa
1684;Festival de Málaga ; Mejor actriz: ;2019; Regina Casé ; Tres veranos ; Alauda Ruiz de Azúa
1685;Festival de Málaga ; Mejor actriz: ;2018; Kiti Mánver ; El inconveniente ; Laia Costa
1686;Festival de Málaga ; Mejor actriz: ;2017; Maria Rodríguez Soto ; Los días que vendrán ; Júlia De Paz Solvas
1687;Festival de Málaga ; Mejor actriz: ;2016; Alexandra Jiménez ; Las distancias ; Tamara Casellas
1688;Festival de Málaga ; Mejor actriz: ;2015; Valeria Bertuccelli ; La reina del miedo ; Sandra Kogut
1689;Festival de Málaga ; Mejor actriz: ;2014; Natalie Poza ; No sé decir adiós ; Regina Casé
1690;Festival de Málaga ; Mejor actriz: ;2013; Emma Suárez ; La próxima piel ; Bernabé Rico
1691;Festival de Málaga ; Mejor actriz: ;2012; Natalia de Molina ; Techo y comida ; Juana Acosta
1692;Festival de Málaga ; Mejor actriz: ;2011; Elena Anaya ; Todos están muertos ; Carlos Marqués-Marcet
1693;Festival de Málaga ; Mejor actriz: ;2010; Natalia Tena ; 10.000 KM ; David Verdaguer
1694;Festival de Málaga ; Mejor actriz: ;2009; Candela Peña ; Ayer no termina nunca ; Elena Trapé
1695;Festival de Málaga ; Mejor actriz: ;2008; Aura Garrido ; Stockholm ; Alexandra Jiménez
1696;Festival de Málaga ; Mejor actriz: ;2007; Carmina Barrios ; Carmina o revienta. ; Valeria Bertuccelli
1697;Festival de Málaga ; Mejor actriz: ;2006; Begoña Maestre ; Arriya (La piedra) ; Valeria Bertuccelli
1698;Festival de Málaga ; Mejor actriz: ;2005; Marisa Paredes ; El dios de madera ; Lino Escalera
1699;Festival de Málaga ; Mejor actriz: ;2004; Nausicaa Bonnín ; Tres días con la familia ; Nathalie Poza
1700;Festival de Málaga ; Mejor actriz: ;2003; Ana Fernández ; Bienvenido a Farewell-Gutmann ; Isaki Lacuesta
1701;Festival de Málaga ; Mejor actriz: ;2002; Elvira Mínguez ; Pudor ; Àlex Monner
1702;Festival de Málaga ; Mejor actriz: ;2001; Silvia Abascal ; La dama boba ; Juan Miguel del Castillo
1703;Festival de Málaga ; Mejor actriz: ;2000; Elvira Mínguez ; Tapas ; Natalia de Molina
1704;Festival de Málaga ; Mejor actriz: ;1999; Adriana Ozores ; Héctor ; Beatriz Sanchís
1705;Festival de Málaga ; Mejor actriz: ;1998; Candela Peña ; Torremolinos 73 ; Elena Anaya
1706;Festival de Málaga ; Mejor actor de reparto: ;2023; Jorge Marrale ; Empieza el baile ; Marina Seresesky
1707;Festival de Málaga ; Mejor actor de reparto: ;2022; Nicolás Poblete ; Mensajes privados ; Darío Grandinetti
1708;Festival de Málaga ; Mejor actor de reparto: ;2021; Alfredo Castro ; Karnawal ; Matías Bize
1709;Festival de Málaga ; Mejor actor de reparto: ;2020; Fabián Corres ; Blanco de verano ; Blanca Lewin
1710;Festival de Málaga ; Mejor actor de reparto: ;2019; Mauro Sánchez Navarro ; Esto no es Berlín ; Juan Pablo Félix
1711;Festival de Málaga ; Mejor actor de reparto: ;2018; Quim Gutiérrez ; Litus ; Alfredo Castro
1712;Festival de Málaga ; Mejor actor de reparto: ;2017; Vladimir Cruz ; Los buenos demonios ; Rodrigo Ruiz Patterson
1713;Festival de Málaga ; Mejor actor de reparto: ;2016; Juan Diego ; No sé decir adiós ; Sophie Alexander-Katz
1714;Festival de Málaga ; Mejor actor de reparto: ;2015; Oscar Martínez ; Capitán Kóblic ; Hari Sama
1715;Festival de Málaga ; Mejor actor de reparto: ;2014; Antonio Bachiller ; A cambio de nada ; Xabiani Ponce de León
1716;Festival de Málaga ; Mejor actor de reparto: ;2013; Héctor Medina ; 321 días en Michigan ; Dani de la Orden
1717;Festival de Málaga ; Mejor actor de reparto: ;2012; Salva Reina ; 321 días en Michigan ; Álex García
1718;Festival de Málaga ; Mejor actor de reparto: ;2011; A todo el reparto masculino de 'Casting' ; Casting ; Gerardo Chijona
1719;Festival de Málaga ; Mejor actor de reparto: ;2010; Álvaro Cervantes ; El sexo de los ángeles ; Carlos Enrique Almirante
1720;Festival de Málaga ; Mejor actor de reparto: ;2009; Àlex Monner ; Los niños salvajes ; Lino Escalera
1721;Festival de Málaga ; Mejor actor de reparto: ;2008; Jorge Bosch ; Cinco metros cuadrados ; Nathalie Poza
1722;Festival de Málaga ; Mejor actor de reparto: ;2007; Àlex Brendemühl ; Rabia ; Sebastián Borensztein
1723;Festival de Málaga ; Mejor actor de reparto: ;2006; Sancho Gracia ; 7 pasos y medio ; Ricardo Darín
1724;Festival de Málaga ; Mejor actor de reparto: ;2005; Óscar Jaenada ; Todos estamos invitados ; Daniel Guzmán
1725;Festival de Málaga ; Mejor actor de reparto: ;2004; Nancho Novo ; Tuya siempre ; Miguel Herrán
1726;Festival de Málaga ; Mejor actor de reparto: ;2003; Roberto Sanmartín ; La dama boba ; Enrique García
1727;Festival de Málaga ; Mejor actriz de reparto: ;2023; Patricia López Arnaiz ; 20.000 especies de abejas ; Estibaliz Urresola Solaguren
1728;Festival de Málaga ; Mejor actriz de reparto: ;2022; Debora Maria da Silva ; A mãe (La madre) ; Sofía Otero
1729;Festival de Málaga ; Mejor actriz de reparto: ;2021; María Romanillos ; Las consecuencias ; Cristiano Burlan
1730;Festival de Málaga ; Mejor actriz de reparto: ;2020; Nathalie Poza ; La boda de Rosa ; Marcélia Cartaxo
1731;Festival de Málaga ; Mejor actriz de reparto: ;2019; Maggie Civantos ; Antes de la quema ; Claudia Pinto
1732;Festival de Málaga ; Mejor actriz de reparto: ;2018; Sarah Storer ; Niña errante ; Juana Acosta
1733;Festival de Málaga ; Mejor actriz de reparto: ;2017; Carmen Flores ; Mi querida cofradía ; Icíar Bollaín
1734;Festival de Málaga ; Mejor actriz de reparto: ;2016; Gabriela Ramos ; Últimos días en La Habana ; Candela Peña
1735;Festival de Málaga ; Mejor actriz de reparto: ;2015; Silvia Maya ; Julie ; Fernando Colomo
1736;Festival de Málaga ; Mejor actriz de reparto: ;2014; Nidia Bermejo ; La deuda (Oliver's Deal) ; Salva Reina
1737;Festival de Málaga ; Mejor actriz de reparto: ;2013; Yolanda Ramos ; Carmina y amén. ; Rubén Mendoza
1738;Festival de Málaga ; Mejor actriz de reparto: ;2012; A todo el reparto femenino de 'Casting' ; Casting ; Sofía Loren Paz Jara
1739;Festival de Málaga ; Mejor actriz de reparto: ;2011; Aina Clotet ; Los niños salvajes ; Marta Díaz
1740;Festival de Málaga ; Mejor actriz de reparto: ;2010; Geraldine Chaplin ; ¿Para qué sirve un oso? ; Gloria Muñoz
1741;Festival de Málaga ; Mejor actriz de reparto: ;2009; Aura Garrido ; Planes para mañana ; Fernando Pérez
1742;Festival de Málaga ; Mejor actriz de reparto: ;2008; Toni Acosta ; 7 minutos ; Jorge Martínez
1743;Festival de Málaga ; Mejor actriz de reparto: ;2007; Mariana Cordero ; 3 días ; Alba González de Molina
1744;Festival de Málaga ; Mejor actriz de reparto: ;2006; Verónica Echegui ; El menor de los males ; Marine Discazeaux
1745;Festival de Málaga ; Mejor actriz de reparto: ;2005; Macarena Gómez ; La dama boba ; Barney Elliott
1870;Festival de Sitges ; Mejor actor: ;2022; Jorma Tommila ; Sisu ; Jalmari Helander
1871;Festival de Sitges ; Mejor actor: ;2021; Franz Rogowski ; Luzifer ; Jorma Tommila
1872;Festival de Sitges ; Mejor actor: ;2020; Caleb Landry Jones ; Nitram ; Peter Brunner
1873;Festival de Sitges ; Mejor actor: ;2019; Grégoire Ludig, David Marsais ; Mandíbulas ; Franz Rogowski
1874;Festival de Sitges ; Mejor actor: ;2018; Miles Robbins ; Daniel no es real ; Justin Kurzel
1875;Festival de Sitges ; Mejor actor: ;2017; Hassan Majooni ; Pig ; Caleb Landry Jones
1876;Festival de Sitges ; Mejor actor: ;2016; Rafe Spall ; El ritual ; Quentin Dupieux
1877;Festival de Sitges ; Mejor actor: ;2015; Daniel Radcliffe ; Swiss Army Man ; Grégoire Ludig
1878;Festival de Sitges ; Mejor actor: ;2014; Joel Edgerton ; El regalo ; Adam Egypt Mortimer
1879;Festival de Sitges ; Mejor actor: ;2013; Kôji Yakusho ; El mundo de Kanako ; Miles Robbins
1880;Festival de Sitges ; Mejor actor: ;2012; Nathan Phillips ; Las últimas horas ; Mani Haghighi
1881;Festival de Sitges ; Mejor actor: ;2011; Andy Lau ; Blind Detective ; Hassan Majooni
1882;Festival de Sitges ; Mejor actor: ;2010; Vincent D'Onofrio ; Chained ; David Bruckner
1883;Festival de Sitges ; Mejor actor: ;2009; Michael Parks ; Red State ; Rafe Spall
1884;Festival de Sitges ; Mejor actor: ;2008; Patrick Fabian ; El último exorcismo ; Dan Kwan
1885;Festival de Sitges ; Mejor actor: ;2007; Sam Rockwell ; Moon ; Paul Dano
1886;Festival de Sitges ; Mejor actor: ;2006; Brian Cox ; Red ; Joel Edgerton
1887;Festival de Sitges ; Mejor actor: ;2005; Sam Rockwell ; El hijo del mal (Joshua) ; Rebecca Hall
1888;Festival de Sitges ; Mejor actor: ;2004; Thomas Kretschmann, Thomas Huber ; El canibal de Rotemburgo ; Tetsuya Nakashima
1889;Festival de Sitges ; Mejor actor: ;2003; Lee Kang-sheng ; El sabor de la sandía ; Kôji Yakusho
1890;Festival de Sitges ; Mejor actor: ;2002; Christian Bale ; El maquinista ; Zak Hilditch
1891;Festival de Sitges ; Mejor actor: ;2001; Robert Downey Jr. ; El detective cantante ; Jessica De Gouw
1892;Festival de Sitges ; Mejor actor: ;2000; Jeremy Northam ; Cypher ; Johnnie To
1893;Festival de Sitges ; Mejor actor: ;1999; Eduard Fernández ; Fausto 5.0 ; Andy Lau
1894;Festival de Sitges ; Mejor actor: ;1998; Steve Railsback ; Ed Gein ; Jennifer Lynch
1895;Festival de Sitges ; Mejor actor: ;1997; Noah Taylor ; Simon Magus ; Vincent D'Onofrio
1896;Festival de Sitges ; Mejor actor: ;1996; Jared Harris ; La momia (Trance) ; Kevin Smith
1897;Festival de Sitges ; Mejor actor: ;1995; Sam Rockwell ; Inocencia rebelde ; Michael Parks
1898;Festival de Sitges ; Mejor actor: ;1994; James Woods ; El corredor de la muerte ; Daniel Stamm
1899;Festival de Sitges ; Mejor actor: ;1993; Stephen Rea ; Citizen X (Ciudadano X) (TV) ; Patrick Fabian
1900;Festival de Sitges ; Mejor actor: ;1992; Saturnino García ; Justino, un asesino de la tercera edad ; Duncan Jones
1901;Festival de Sitges ; Mejor actor: ;1991; Federico Luppi ; Cronos ; Sam Rockwell
1902;Festival de Sitges ; Mejor actor: ;1990; Benoît Poelvoorde ; Ocurrió cerca de su casa ; Trygve Allister Diesen
1903;Festival de Sitges ; Mejor actor: ;1989; Dominique Pinon ; Delicatessen ; Brian Cox
1904;Festival de Sitges ; Mejor actor: ;1988; Jeff Goldblum ; Mister Frost ; George Ratliff
1905;Festival de Sitges ; Mejor actor: ;1987; Nicolas Cage ; Besos de vampiro ; Sam Rockwell
1906;Festival de Sitges ; Mejor actor: ;1986; Michael Gambon ; El cocinero, el ladrón, su mujer y su amante ; Martin Weisz
1907;Festival de Sitges ; Mejor actor: ;1985; Gregory Hlady ; Otstupnik ; Thomas Kretschmann
1908;Festival de Sitges ; Mejor actor: ;1984; Michael Nouri ; Hidden (Oculto) ; Tsai Ming-liang
1909;Festival de Sitges ; Mejor actor: ;1983; Juanjo Puigcorbé ; Pasión lejana ; Lee Kang-sheng
1910;Festival de Sitges ; Mejor actor: ;1982; John Walcutt ; Return ; Brad Anderson
1911;Festival de Sitges ; Mejor actor: ;1981; Joe Morton ; El hermano de otro planeta ; Christian Bale
1912;Festival de Sitges ; Mejor actor: ;1980; Vincent Price, Christopher Lee, Peter Cushing, John Carradine ; La casa de las sombras del pasado ; Keith Gordon
1913;Festival de Sitges ; Mejor actor: ;1979; Richard Chamberlain ; La última ola ; Robert Downey Jr.
1914;Festival de Sitges ; Mejor actor: ;1978; Mircea Bogdan ; Povestea dragostei ; Vincenzo Natali
1915;Festival de Sitges ; Mejor actor: ;1977; Nicholas Worth ; No respondas al teléfono ; Jeremy Northam
1916;Festival de Sitges ; Mejor actor: ;1976; Gerhard Olschewski ; Crimen sin asesino ; Isidro Ortiz
1917;Festival de Sitges ; Mejor actor: ;1975; John Hargreaves ; Largo fin de semana ; Miguel Ángel Solá
1918;Festival de Sitges ; Mejor actor: ;1974; Burgess Meredith ; Pesadilla diabólica ; Chuck Parello
1919;Festival de Sitges ; Mejor actor: ;1973; Burgess Meredith ; La centinela ; Steve Railsback
1920;Festival de Sitges ; Mejor actor: ;1972; Peter Cushing ; El necrófago ; Ben Hopkins
1921;Festival de Sitges ; Mejor actor: ;1971; Paul Naschy ; La maldición de la bestia ; Noah Taylor
1922;Festival de Sitges ; Mejor actriz: ;2022; Natalia Germani, Eva Mores Mención especial ; Nightsiren ; Tereza Nvotová
1923;Festival de Sitges ; Mejor actriz: ;2021; Mia Goth ; Pearl ; Natalia Germani
1924;Festival de Sitges ; Mejor actriz: ;2020; Susanne Jensen ; Luzifer ; Ti West
