id;festival;categoria;año;premiado_a
947;Festival de Sitges ; Mejor película: ;2013; Borgman 
948;Festival de Sitges ; Mejor película: ;2012; Holy Motors 
949;Festival de Sitges ; Mejor película: ;2011; Red State 
950;Festival de Sitges ; Mejor película: ;2010; Rare Exports: Un cuento gamberro de Navidad 
951;Festival de Sitges ; Mejor película: ;2009; Moon 
952;Festival de Sitges ; Mejor película: ;2008; Vigilancia (Surveillance) 
953;Festival de Sitges ; Mejor película: ;2007; The Fall: El sueño de Alexandria 
954;Festival de Sitges ; Mejor película: ;2006; Réquiem (El exorcismo de Micaela) 
955;Festival de Sitges ; Mejor película: ;2005; Hard Candy 
956;Festival de Sitges ; Mejor película: ;2004; Oldboy 
957;Festival de Sitges ; Mejor película: ;2003; Zatoichi 
958;Festival de Sitges ; Mejor película: ;2002; Dracula: Pages From a Virgin's Diary 
959;Festival de Sitges ; Mejor película: ;2001; Vidocq (El mito) 
960;Festival de Sitges ; Mejor película: ;2000; Ed Gein 
961;Festival de Sitges ; Mejor película: ;1999; The Ring (El círculo) 
962;Festival de Sitges ; Mejor película: ;1998; Cube 
963;Festival de Sitges ; Mejor película: ;1997; Gattaca 
964;Festival de Sitges ; Mejor película: ;1996; The Pillow Book 
965;Festival de Sitges ; Mejor película: ;1995; Citizen X (Ciudadano X) (TV) 
966;Festival de Sitges ; Mejor película: ;1994; 71 fragmentos de una cronología del azar 
967;Festival de Sitges ; Mejor película: ;1993; Orlando 
968;Festival de Sitges ; Mejor película: ;1992; Ocurrió cerca de su casa 
969;Festival de Sitges ; Mejor película: ;1991; Europa 
970;Festival de Sitges ; Mejor película: ;1990; Henry: Retrato de un asesino 
971;Festival de Sitges ; Mejor película: ;1989; Corazón de medianoche 
972;Festival de Sitges ; Mejor película: ;1988; The Navigator: Una odisea en el tiempo 
973;Festival de Sitges ; Mejor película: ;1987; Un cuento húngaro de hadas 
974;Festival de Sitges ; Mejor película: ;1986; Terciopelo azul 
975;Festival de Sitges ; Mejor película: ;1985; Re-Animator 
976;Festival de Sitges ; Mejor película: ;1984; En compañía de lobos 
977;Festival de Sitges ; Mejor película: ;1983; Kamikaze 1999 (El último combate) 
978;Festival de Sitges ; Mejor película: ;1982; El incinerador de cadáveres 
979;Festival de Sitges ; Premio especial del jurado: ;2022; Project Wolf Hunting 
980;Festival de Sitges ; Premio especial del jurado: ;2021; After Blue (Paradis sale) 
981;Festival de Sitges ; Premio especial del jurado: ;2020; La nube 
982;Festival de Sitges ; Premio especial del jurado: ;2019; Adoration 
983;Festival de Sitges ; Premio especial del jurado: ;2018; Lazzaro feliz 
984;Festival de Sitges ; Premio especial del jurado: ;2017; Thelma 
985;Festival de Sitges ; Premio especial del jurado: ;2016; La autopsia de Jane Doe 
986;Festival de Sitges ; Premio especial del jurado: ;2015; Las últimas supervivientes 
987;Festival de Sitges ; Premio especial del jurado: ;2014; Babadook 
988;Festival de Sitges ; Premio especial del jurado: ;2013; Sólo los amantes sobreviven 
989;Festival de Sitges ; Premio especial del jurado: ;2012; Chained 
990;Festival de Sitges ; Premio especial del jurado: ;2011; Somos la noche 
991;Festival de Sitges ; Premio especial del jurado: ;2010; Enter the Void 
992;Festival de Sitges ; Premio especial del jurado: ;2009; Eden Lake 
993;Festival de Sitges ; Premio especial del jurado: ;2008; El ejército de los muertos (Masters of Horror Series) (TV) 
994;Festival de Sitges ; Premio especial del jurado: ;2007; El sabor de la sandía 
995;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2022; Saint Omer. El pueblo contra Laurence Coly 
996;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2021; Great Freedom (Gran libertad) 
997;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2020; Malmkrog 
998;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2019; Martin Eden 
999;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2018; Donbass 
1000;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2017; La fábrica de nada 
1001;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2016; La alta sociedad 
1002;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2015; La academia de las musas 
1003;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2014; Fuerza mayor 
1004;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2013; El desconocido del lago 
1005;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2012; Come, duerme, muere 
1006;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2011; Siempre feliz 
1007;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2010; Son of Babylon 
1008;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2009; Lourdes 
1009;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2008; Volveré enseguida 
1010;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2007; En un mundo libre 
1011;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2006; Venus 
1012;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2005; De latir, mi corazón se ha parado 
1013;Festival de Sevilla ; Giraldillo de Oro- Mejor película: ;2004; Avanim 
1014;Festival de Sevilla ; Premio Especial del Jurado: ;2022; Fuego fatuo 
1015;Festival de Sevilla ; Premio Especial del Jurado: ;2021; Close 
1016;Festival de Sevilla ; Premio Especial del Jurado: ;2020; Costa Brava, Líbano 
1017;Festival de Sevilla ; Premio Especial del Jurado: ;2019; Onoda, 10.000 noches en la jungla 
1018;Festival de Sevilla ; Premio Especial del Jurado: ;2018; El año del descubrimiento 
1019;Festival de Sevilla ; Premio Especial del Jurado: ;2017; Technoboss 
1020;Festival de Sevilla ; Premio Especial del Jurado: ;2016; Ray y Liz 
1021;Festival de Sevilla ; Premio Especial del Jurado: ;2015; Zama 
1022;Festival de Sevilla ; Premio Especial del Jurado: ;2014; Western 
1023;Festival de Sevilla ; Premio Especial del Jurado: ;2013; Mimosas 
1024;Festival de Sevilla ; Premio Especial del Jurado: ;2012; Rabin, el último día 
1025;Festival de Sevilla ; Premio Especial del Jurado: ;2011; El país de las maravillas 
1026;Festival de Sevilla ; Premio Especial del Jurado: ;2010; Reality 
1027;Festival de Sevilla ; Premio Especial del Jurado: ;2009; El molino y la cruz 
1028;Festival de Sevilla ; Premio Especial del Jurado: ;2008; Semilla de maldad (Tender Son) 
1029;Festival de Sevilla ; Premio Especial del Jurado: ;2007; 44 Inch Chest (La medida de la venganza) 
1030;Festival de Sevilla ; Premio Especial del Jurado: ;2006; Gomorra 
1031;Festival de Sevilla ; Premio Especial del Jurado: ;2005; La comedia de la vida 
1032;Festival de Sevilla ; Premio Especial del Jurado: ;2004; Aleksandra 
1033;Festival de Rotterdam ; Tiger Award: Mejor película: ;2023; Le spectre de Boko Haram 
1034;Festival de Rotterdam ; Tiger Award: Mejor película: ;2022; Eami 
1035;Festival de Rotterdam ; Tiger Award: Mejor película: ;2021; Pebbles 
1036;Festival de Rotterdam ; Tiger Award: Mejor película: ;2020; The Cloud in Her Room 
1037;Festival de Rotterdam ; Tiger Award: Mejor película: ;2019; Present.Perfect. 
1038;Festival de Rotterdam ; Tiger Award: Mejor película: ;2018; The Widowed Witch 
1039;Festival de Rotterdam ; Tiger Award: Mejor película: ;2017; Sexy Durga 
1040;Festival de Rotterdam ; Tiger Award: Mejor película: ;2016; Radio Dreams 
1041;Festival de Rotterdam ; Tiger Award: Mejor película: ;2015; La obra del siglo 
1042;Festival de Rotterdam ; Tiger Award: Mejor película: ;2014; Videofilia (y otros síndromes virales) 
1043;Festival de Rotterdam ; Tiger Award: Mejor película: ;2013; Vanishing Point 
1044;Festival de Rotterdam ; Tiger Award: Mejor película: ;2012; Anatomy of a Paper Clip 
1045;Festival de Rotterdam ; Tiger Award: Mejor película: ;2011; Princesa (Han Gong-Ju) 
1046;Festival de Rotterdam ; Tiger Award: Mejor película: ;2010; Something Must Break 
1047;Festival de Rotterdam ; Tiger Award: Mejor película: ;2009; Fat Shaker 
1048;Festival de Rotterdam ; Tiger Award: Mejor película: ;2008; My Dog Killer 
1049;Festival de Rotterdam ; Tiger Award: Mejor película: ;2007; Soldier Jane 
1050;Festival de Rotterdam ; Tiger Award: Mejor película: ;2006; De jueves a domingo 
1051;Festival de Rotterdam ; Tiger Award: Mejor película: ;2005; Egg and Stone 
1052;Festival de Rotterdam ; Tiger Award: Mejor película: ;2004; Klip 
1053;Festival de Rotterdam ; Tiger Award: Mejor película: ;2003; Finisterrae 
1054;Festival de Rotterdam ; Premio Especial del Jurado: ;2023; To Love Again 
1055;Festival de Rotterdam ; Premio Especial del Jurado: ;2022; Excess Will Save Us 
1056;Festival de Rotterdam ; Premio Especial del Jurado: ;2021; Un verano en Córcega 
1057;Festival de Rotterdam ; Premio Especial del Jurado: ;2020; Looking for Venera 
1058;Festival de Rotterdam ; Premio Especial del Jurado: ;2019; Nido de víboras 
1059;Festival de Rotterdam ; Premio Especial del Jurado: ;2018; Take Me Somewhere Nice 
1060;Festival de Rotterdam ; Premio Especial del Jurado: ;2017; Los informes sobre Sarah y Saleem 
1061;Festival de Rotterdam ; Premio Especial del Jurado: ;2016; Rey 
1062;Festival de Rotterdam ; Premio Especial del Jurado: ;2015; La última tierra 
1063;Festival Internacional de Tokyo ; Mejor película: ;2022; As bestas 
1064;Festival Internacional de Tokyo ; Mejor película: ;2021; Vera Dreams of the Sea 
1065;Festival Internacional de Tokyo ; Mejor película: ;2019; Uncle 
1066;Festival Internacional de Tokyo ; Mejor película: ;2018; Mi vida con Amanda 
1067;Festival Internacional de Tokyo ; Mejor película: ;2017; Grain 
1068;Festival Internacional de Tokyo ; Mejor película: ;2016; Las flores de antaño 
1069;Festival Internacional de Tokyo ; Mejor película: ;2015; Nise: El corazón de la locura 
1070;Festival Internacional de Tokyo ; Mejor película: ;2014; Heaven Knows What 
1071;Festival Internacional de Tokyo ; Mejor película: ;2013; We Are the Best! 
1072;Festival Internacional de Tokyo ; Mejor película: ;2012; El hijo del otro 
1073;Festival Internacional de Tokyo ; Mejor película: ;2011; Intocable 
1074;Festival Internacional de Tokyo ; Mejor película: ;2010; Gramática íntima 
1075;Festival Internacional de Tokyo ; Mejor película: ;2009; Eastern Plays 
1076;Festival Internacional de Tokyo ; Mejor película: ;2008; Tulpan 
1077;Festival Internacional de Tokyo ; Mejor película: ;2007; La banda nos visita 
1078;Festival Internacional de Tokyo ; Mejor película: ;2006; OSS 117: El Cairo, nido de espías 
1079;Festival Internacional de Tokyo ; Mejor película: ;2005; What the Snow Brings 
1080;Festival Internacional de Tokyo ; Mejor película: ;2004; Whisky 
1081;Festival Internacional de Tokyo ; Mejor película: ;2003; Nuan 
1082;Festival Internacional de Tokyo ; Mejor película: ;2002; Knafayim Shvurot (Broken Wings) 
1083;Festival Internacional de Tokyo ; Mejor película: ;2001; Slogans 
1084;Festival Internacional de Tokyo ; Mejor película: ;2000; Amores perros 
1085;Festival Internacional de Tokyo ; Mejor película: ;1999; Darkness and Light 
1086;Festival Internacional de Tokyo ; Mejor película: ;1998; Abre los ojos 
1087;Festival Internacional de Tokyo ; Mejor película: ;1997; Más allá del silencio 
1088;Festival Internacional de Tokyo ; Mejor película: ;1996; El círculo perfecto 
1089;Festival Internacional de Tokyo ; Mejor película: ;1995; Kolya 
1090;Festival Internacional de Tokyo ; Mejor película: ;1994; The Day the Sun Turned Cold 
1091;Festival Internacional de Tokyo ; Mejor película: ;1993; La cometa azul 
1092;Festival Internacional de Tokyo ; Mejor película: ;1992; White Badge 
1093;Festival Internacional de Tokyo ; Mejor película: ;1991; Ciudad de esperanza 
1094;Festival Internacional de Tokyo ; Mejor película: ;1989; That Summer of White Roses 
1095;Festival Internacional de Tokyo ; Mejor película: ;1987; Viejo pozo 
1096;Festival Internacional de Tokyo ; Mejor película: ;1985; Typhoon Club 
1097;Festival Internacional de Tokyo ; Premio Especial del Jurado: ;2022; World War III 
1098;Festival Internacional de Tokyo ; Premio Especial del Jurado: ;2021; Atlantis 
1099;Festival Internacional de Tokyo ; Premio Especial del Jurado: ;2019; Hotel Hibiscus 
1100;Festival Internacional de Tokyo ; Premio Especial del Jurado: ;2018; Under the Moonlight 
1101;Festival Internacional de Tokyo ; Premio Especial del Jurado: ;2017; La virgen desnudada por sus pretendientes 
1102;Festival Internacional de Tokyo ; Premio Especial del Jurado: ;2016; Rainbow Trout 
1103;Premios Oscars ; Mejor película: ;2023; Todo a la vez en todas partes 
1104;Premios Oscars ; Mejor película: ;2022; CODA: Los sonidos del silencio 
1105;Premios Oscars ; Mejor película: ;2021; Nomadland 
1106;Premios Oscars ; Mejor película: ;2020; Parásitos 
1107;Premios Oscars ; Mejor película: ;2019; Green Book 
1108;Premios Oscars ; Mejor película: ;2018; La forma del agua 
1109;Premios Oscars ; Mejor película: ;2017; Moonlight 
1110;Premios Oscars ; Mejor película: ;2016; Spotlight 
1111;Premios Oscars ; Mejor película: ;2015; Birdman o (La inesperada virtud de la ignorancia) 
1112;Premios Oscars ; Mejor película: ;2014; 12 años de esclavitud 
1113;Premios Oscars ; Mejor película: ;2013; Argo 
1114;Premios Oscars ; Mejor película: ;2012; The Artist 
1115;Premios Oscars ; Mejor película: ;2011; El discurso del Rey 
1116;Premios Oscars ; Mejor película: ;2010; En tierra hostil 
1117;Premios Oscars ; Mejor película: ;2009; Slumdog Millionaire 
1118;Premios Oscars ; Mejor película: ;2008; No es país para viejos 
1119;Premios Oscars ; Mejor película: ;2007; Infiltrados 
1120;Premios Oscars ; Mejor película: ;2006; Crash (Colisión) 
1121;Premios Oscars ; Mejor película: ;2005; Million Dollar Baby 
1122;Premios Oscars ; Mejor película: ;2004; El señor de los anillos: El retorno del rey 
1123;Premios Oscars ; Mejor película: ;2003; Chicago 
1124;Premios Oscars ; Mejor película: ;2002; Una mente maravillosa 
1125;Premios Oscars ; Mejor película: ;2001; Gladiator 
1126;Premios Oscars ; Mejor película: ;2000; American Beauty 
1127;Premios Oscars ; Mejor película: ;1999; Shakespeare enamorado 
1128;Premios Oscars ; Mejor película: ;1998; Titanic 
1129;Premios Oscars ; Mejor película: ;1997; El paciente inglés 
1130;Premios Oscars ; Mejor película: ;1996; Braveheart 
1131;Premios Oscars ; Mejor película: ;1995; Forrest Gump 
1132;Premios Oscars ; Mejor película: ;1994; La lista de Schindler 
1133;Premios Oscars ; Mejor película: ;1993; Sin perdón 
1134;Premios Oscars ; Mejor película: ;1992; El silencio de los corderos 
1135;Premios Oscars ; Mejor película: ;1991; Bailando con lobos 
1136;Premios Oscars ; Mejor película: ;1990; Paseando a Miss Daisy 
1137;Premios Oscars ; Mejor película: ;1989; Rain Man 
1138;Premios Oscars ; Mejor película: ;1988; El último emperador 
1139;Premios Oscars ; Mejor película: ;1987; Platoon 
1140;Premios Oscars ; Mejor película: ;1986; Memorias de África 
1141;Premios Oscars ; Mejor película: ;1985; Amadeus 
1142;Premios Oscars ; Mejor película: ;1984; La fuerza del cariño 
1143;Premios Oscars ; Mejor película: ;1983; Gandhi 
1144;Premios Oscars ; Mejor película: ;1982; Carros de fuego 
1145;Premios Oscars ; Mejor película: ;1981; Gente corriente 
1146;Premios Oscars ; Mejor película: ;1980; Kramer contra Kramer 
1147;Premios Oscars ; Mejor película: ;1979; El cazador 
1148;Premios Oscars ; Mejor película: ;1978; Annie Hall 
1149;Premios Oscars ; Mejor película: ;1977; Rocky 
1150;Premios Oscars ; Mejor película: ;1976; Alguien voló sobre el nido del cuco 
1151;Premios Oscars ; Mejor película: ;1975; El padrino. Parte II 
1152;Premios Oscars ; Mejor película: ;1974; El golpe 
1153;Premios Oscars ; Mejor película: ;1973; El padrino 
1154;Premios Oscars ; Mejor película: ;1972; The French Connection. Contra el imperio de la droga 
1155;Premios Oscars ; Mejor película: ;1971; Patton 
1156;Premios Oscars ; Mejor película: ;1970; Cowboy de medianoche 
1157;Premios Oscars ; Mejor película: ;1969; Oliver 
1158;Premios Oscars ; Mejor película: ;1968; En el calor de la noche 
1159;Premios Oscars ; Mejor película: ;1967; Un hombre para la eternidad 
1160;Premios Oscars ; Mejor película: ;1966; Sonrisas y lágrimas 
1161;Premios Oscars ; Mejor película: ;1965; My Fair Lady (Mi bella dama) 
1162;Premios Oscars ; Mejor película: ;1964; Tom Jones 
1163;Premios Oscars ; Mejor película: ;1963; Lawrence de Arabia 
1164;Premios Oscars ; Mejor película: ;1962; West Side Story (Amor sin barreras) 
1165;Premios Oscars ; Mejor película: ;1961; El apartamento 
1166;Premios Oscars ; Mejor película: ;1960; Ben-Hur 
1167;Premios Oscars ; Mejor película: ;1959; Gigi 
1168;Premios Oscars ; Mejor película: ;1958; El puente sobre el río Kwai 
1169;Premios Oscars ; Mejor película: ;1957; La vuelta al mundo en 80 días 
1170;Premios Oscars ; Mejor película: ;1956; Marty 
1171;Premios Oscars ; Mejor película: ;1955; La ley del silencio 
1172;Premios Oscars ; Mejor película: ;1954; De aquí a la eternidad 
1173;Premios Oscars ; Mejor película: ;1953; El mayor espectáculo del mundo 
1174;Premios Oscars ; Mejor película: ;1952; Un americano en París 
1175;Premios Oscars ; Mejor película: ;1951; Eva al desnudo 
1176;Premios Oscars ; Mejor película: ;1950; El político 
1177;Premios Oscars ; Mejor película: ;1949; Hamlet 
1178;Premios Oscars ; Mejor película: ;1948; La barrera invisible 
1179;Premios Oscars ; Mejor película: ;1947; Los mejores años de nuestra vida 
1180;Premios Oscars ; Mejor película: ;1946; Días sin huella 
1181;Premios Oscars ; Mejor película: ;1945; Siguiendo mi camino 
1182;Premios Oscars ; Mejor película: ;1944; Casablanca 
1183;Premios Oscars ; Mejor película: ;1943; La señora Miniver 
1184;Premios Oscars ; Mejor película: ;1942; ¡Qué verde era mi valle! 
1185;Premios Oscars ; Mejor película: ;1941; Rebeca 
1186;Premios Oscars ; Mejor película: ;1940; Lo que el viento se llevó 
1187;Premios Oscars ; Mejor película: ;1939; Vive como quieras 
1188;Premios Oscars ; Mejor película: ;1938; La vida de Émile Zola 
1189;Premios Oscars ; Mejor película: ;1937; El gran Ziegfeld 
1190;Premios Oscars ; Mejor película: ;1936; La tragedia de la Bounty 
1191;Premios Oscars ; Mejor película: ;1935; Sucedió una noche 
1192;Premios Oscars ; Mejor película: ;1934; Cabalgata 
1193;Premios Oscars ; Mejor película: ;1933; Gran Hotel 
1194;Premios Oscars ; Mejor película: ;1932; Cimarrón 
1195;Premios Oscars ; Mejor película: ;1931; Sin novedad en el frente 
1196;Premios Oscars ; Mejor película: ;1930; La melodía de Broadway 
1197;Premios Oscars ; Mejor película: ;1929; Alas 
1198;Premios Oscars ; Mejor dirección: ;2023; Todo a la vez en todas partes 
1199;Premios Oscars ; Mejor dirección: ;2022; El poder del perro 
1200;Premios Oscars ; Mejor dirección: ;2021; Nomadland 
1201;Premios Oscars ; Mejor dirección: ;2020; Parásitos 
1202;Premios Oscars ; Mejor dirección: ;2019; Roma 
1203;Premios Oscars ; Mejor dirección: ;2018; La forma del agua 
1204;Premios Oscars ; Mejor dirección: ;2017; La ciudad de las estrellas (La La Land) 
1205;Premios Oscars ; Mejor dirección: ;2016; El renacido 
1206;Premios Oscars ; Mejor dirección: ;2015; Birdman o (La inesperada virtud de la ignorancia) 
1207;Premios Oscars ; Mejor dirección: ;2014; Gravity 
1208;Premios Oscars ; Mejor dirección: ;2013; La vida de Pi 
1209;Premios Oscars ; Mejor dirección: ;2012; The Artist 
1210;Premios Oscars ; Mejor dirección: ;2011; El discurso del Rey 
1211;Premios Oscars ; Mejor dirección: ;2010; En tierra hostil 
1212;Premios Oscars ; Mejor dirección: ;2009; Slumdog Millionaire 
1213;Premios Oscars ; Mejor dirección: ;2008; No es país para viejos 
1214;Premios Oscars ; Mejor dirección: ;2007; Infiltrados 
1215;Premios Oscars ; Mejor dirección: ;2006; Brokeback Mountain (En terreno vedado) 
1216;Premios Oscars ; Mejor dirección: ;2005; Million Dollar Baby 
1217;Premios Oscars ; Mejor dirección: ;2004; El señor de los anillos: El retorno del rey 
1218;Premios Oscars ; Mejor dirección: ;2003; El pianista 
1219;Premios Oscars ; Mejor dirección: ;2002; Una mente maravillosa 
1220;Premios Oscars ; Mejor dirección: ;2001; Traffic 
1221;Premios Oscars ; Mejor dirección: ;2000; American Beauty 
1222;Premios Oscars ; Mejor dirección: ;1999; Salvar al soldado Ryan 
1223;Premios Oscars ; Mejor dirección: ;1998; Titanic 
1224;Premios Oscars ; Mejor dirección: ;1997; El paciente inglés 
1225;Premios Oscars ; Mejor dirección: ;1996; Braveheart 
1226;Premios Oscars ; Mejor dirección: ;1995; Forrest Gump 
1227;Premios Oscars ; Mejor dirección: ;1994; La lista de Schindler 
1228;Premios Oscars ; Mejor dirección: ;1993; Sin perdón 
1229;Premios Oscars ; Mejor dirección: ;1992; El silencio de los corderos 
1230;Premios Oscars ; Mejor dirección: ;1991; Bailando con lobos 
1231;Premios Oscars ; Mejor dirección: ;1990; Nacido el cuatro de julio 
1232;Premios Oscars ; Mejor dirección: ;1989; Rain Man 
1233;Premios Oscars ; Mejor dirección: ;1988; El último emperador 
1234;Premios Oscars ; Mejor dirección: ;1987; Platoon 
1235;Premios Oscars ; Mejor dirección: ;1986; Memorias de África 
1236;Premios Oscars ; Mejor dirección: ;1985; Amadeus 
1237;Premios Oscars ; Mejor dirección: ;1984; La fuerza del cariño 
1238;Premios Oscars ; Mejor dirección: ;1983; Gandhi 
1239;Premios Oscars ; Mejor dirección: ;1982; Rojos 
1240;Premios Oscars ; Mejor dirección: ;1981; Gente corriente 
1241;Premios Oscars ; Mejor dirección: ;1980; Kramer contra Kramer 
1242;Premios Oscars ; Mejor dirección: ;1979; El cazador 
1243;Premios Oscars ; Mejor dirección: ;1978; Annie Hall 
1244;Premios Oscars ; Mejor dirección: ;1977; Rocky 
1245;Premios Oscars ; Mejor dirección: ;1976; Alguien voló sobre el nido del cuco 
1246;Premios Oscars ; Mejor dirección: ;1975; El padrino. Parte II 
1247;Premios Oscars ; Mejor dirección: ;1974; El golpe 
1248;Premios Oscars ; Mejor dirección: ;1973; Cabaret 
1249;Premios Oscars ; Mejor dirección: ;1972; The French Connection. Contra el imperio de la droga 
1250;Premios Oscars ; Mejor dirección: ;1971; Patton 
1251;Premios Oscars ; Mejor dirección: ;1970; Cowboy de medianoche 
1252;Premios Oscars ; Mejor dirección: ;1969; Oliver 
1253;Premios Oscars ; Mejor dirección: ;1968; El graduado 
1254;Premios Oscars ; Mejor dirección: ;1967; Un hombre para la eternidad 
1255;Premios Oscars ; Mejor dirección: ;1966; Sonrisas y lágrimas 
1256;Premios Oscars ; Mejor dirección: ;1965; My Fair Lady (Mi bella dama) 
1257;Premios Oscars ; Mejor dirección: ;1964; Tom Jones 
1258;Premios Oscars ; Mejor dirección: ;1963; Lawrence de Arabia 
1259;Premios Oscars ; Mejor dirección: ;1962; West Side Story (Amor sin barreras) 
1260;Premios Oscars ; Mejor dirección: ;1961; El apartamento 
1261;Premios Oscars ; Mejor dirección: ;1960; Ben-Hur 
1262;Premios Oscars ; Mejor dirección: ;1959; Gigi 
1263;Premios Oscars ; Mejor dirección: ;1958; El puente sobre el río Kwai 
1264;Premios Oscars ; Mejor dirección: ;1957; Gigante 
1265;Premios Oscars ; Mejor dirección: ;1956; Marty 
1266;Premios Oscars ; Mejor dirección: ;1955; La ley del silencio 
1267;Premios Oscars ; Mejor dirección: ;1954; De aquí a la eternidad 
1268;Premios Oscars ; Mejor dirección: ;1953; El hombre tranquilo 
1269;Premios Oscars ; Mejor dirección: ;1952; Un lugar en el sol 
1270;Premios Oscars ; Mejor dirección: ;1951; Eva al desnudo 
1271;Premios Oscars ; Mejor dirección: ;1950; Carta a tres esposas 
1272;Premios Oscars ; Mejor dirección: ;1949; El tesoro de Sierra Madre 
1273;Premios Oscars ; Mejor dirección: ;1948; La barrera invisible 
1274;Premios Oscars ; Mejor dirección: ;1947; Los mejores años de nuestra vida 
1275;Premios Oscars ; Mejor dirección: ;1946; Días sin huella 
1276;Premios Oscars ; Mejor dirección: ;1945; Siguiendo mi camino 
1277;Premios Oscars ; Mejor dirección: ;1944; Casablanca 
1278;Premios Oscars ; Mejor dirección: ;1943; La señora Miniver 
1279;Premios Oscars ; Mejor dirección: ;1942; ¡Qué verde era mi valle! 
1280;Premios Oscars ; Mejor dirección: ;1941; Las uvas de la ira 
1281;Premios Oscars ; Mejor dirección: ;1940; Lo que el viento se llevó 
1282;Premios Oscars ; Mejor dirección: ;1939; Vive como quieras 
1283;Premios Oscars ; Mejor dirección: ;1938; La pícara puritana 
1284;Premios Oscars ; Mejor dirección: ;1937; El secreto de vivir 
1285;Premios Oscars ; Mejor dirección: ;1936; El delator 
1286;Premios Oscars ; Mejor dirección: ;1935; Sucedió una noche 
1287;Premios Oscars ; Mejor dirección: ;1934; Cabalgata 
1288;Premios Oscars ; Mejor dirección: ;1933; Bad Girl 
1289;Premios Oscars ; Mejor dirección: ;1932; Las peripecias de Skippy 
1290;Premios Oscars ; Mejor dirección: ;1931; Sin novedad en el frente 
1291;Premios Oscars ; Mejor dirección: ;1930; Trafalgar 
1292;Premios Oscars ; Mejor dirección: ;1929; El séptimo cielo 
1293;Premios Oscars ; Mejor dirección: ;1928; Hermanos de armas 
1294;Premios Globos de Oro ; Mejor película - Drama: ;2023; Los Fabelman 
1295;Premios Globos de Oro ; Mejor película - Drama: ;2022; El poder del perro 
1296;Premios Globos de Oro ; Mejor película - Drama: ;2021; Nomadland 
1297;Premios Globos de Oro ; Mejor película - Drama: ;2020;1917
1298;Premios Globos de Oro ; Mejor película - Drama: ;2019; Bohemian Rhapsody 
1299;Premios Globos de Oro ; Mejor película - Drama: ;2018; Tres anuncios en las afueras 
1300;Premios Globos de Oro ; Mejor película - Drama: ;2017; Moonlight 
1301;Premios Globos de Oro ; Mejor película - Drama: ;2016; El renacido 
1302;Premios Globos de Oro ; Mejor película - Drama: ;2015; Boyhood (Momentos de una vida) 
1303;Premios Globos de Oro ; Mejor película - Drama: ;2014; 12 años de esclavitud 
1304;Premios Globos de Oro ; Mejor película - Drama: ;2013; Argo 
1305;Premios Globos de Oro ; Mejor película - Drama: ;2012; Los descendientes 
1306;Premios Globos de Oro ; Mejor película - Drama: ;2011; La red social 
1307;Premios Globos de Oro ; Mejor película - Drama: ;2010; Avatar 
1308;Premios Globos de Oro ; Mejor película - Drama: ;2009; Slumdog Millionaire 
1309;Premios Globos de Oro ; Mejor película - Drama: ;2008; Expiación, más allá de la pasión 
1310;Premios Globos de Oro ; Mejor película - Drama: ;2007; Babel 
1311;Premios Globos de Oro ; Mejor película - Drama: ;2006; Brokeback Mountain (En terreno vedado) 
1312;Premios Globos de Oro ; Mejor película - Drama: ;2005; El aviador 
1313;Premios Globos de Oro ; Mejor película - Drama: ;2004; El señor de los anillos: El retorno del rey 
1314;Premios Globos de Oro ; Mejor película - Drama: ;2003; Las horas 
1315;Premios Globos de Oro ; Mejor película - Drama: ;2002; Una mente maravillosa 
1316;Premios Globos de Oro ; Mejor película - Drama: ;2001; Gladiator 
1317;Premios Globos de Oro ; Mejor película - Drama: ;2000; American Beauty 
1318;Premios Globos de Oro ; Mejor película - Drama: ;1999; Salvar al soldado Ryan 
1319;Premios Globos de Oro ; Mejor película - Drama: ;1998; Titanic 
1320;Premios Globos de Oro ; Mejor película - Drama: ;1997; El paciente inglés 
1321;Premios Globos de Oro ; Mejor película - Drama: ;1996; Sentido y sensibilidad 
1322;Premios Globos de Oro ; Mejor película - Drama: ;1995; Forrest Gump 
1323;Premios Globos de Oro ; Mejor película - Drama: ;1994; La lista de Schindler 
1324;Premios Globos de Oro ; Mejor película - Drama: ;1993; Esencia de mujer 
1325;Premios Globos de Oro ; Mejor película - Drama: ;1992; Bugsy 
