id;festival;categoria;año;premiado_a
66;Festival de Cannes ; Palma de Oro: Mejor película: ;1957; El pagador de promesas 
67;Festival de Cannes ; Palma de Oro: Mejor película: ;1956; Viridiana 
68;Festival de Cannes ; Palma de Oro: Mejor película: ;1955; Una larga ausencia 
69;Festival de Cannes ; Palma de Oro: Mejor película: ;1954; La dolce vita 
70;Festival de Cannes ; Palma de Oro: Mejor película: ;1953; Orfeo negro 
71;Festival de Cannes ; Palma de Oro: Mejor película: ;1952; Cuando pasan las cigüeñas 
72;Festival de Cannes ; Palma de Oro: Mejor película: ;1951; La gran prueba 
73;Festival de Cannes ; Palma de Oro: Mejor película: ;1950; El mundo del silencio 
74;Festival de Cannes ; Palma de Oro: Mejor película: ;1949; Marty 
75;Festival de Cannes ; Palma de Oro: Mejor película: ;1948; La puerta del infierno 
76;Festival de Cannes ; Palma de Oro: Mejor película: ;1947; El salario del miedo 
77;Festival de Cannes ; Palma de Oro: Mejor película: ;1946; Otelo (Othello) 
78;Festival de Cannes ; Palma de Oro: Mejor película: ;1945; Dos centavos de esperanza 
79;Festival de Cannes ; Palma de Oro: Mejor película: ;1944; Milagro en Milán 
80;Festival de Cannes ; Palma de Oro: Mejor película: ;1943; La señorita Julie 
81;Festival de Cannes ; Palma de Oro: Mejor película: ;1942; El tercer hombre 
82;Festival de Cannes ; Palma de Oro: Mejor película: ;1941; El punto decisivo 
83;Festival de Cannes ; Palma de Oro: Mejor película: ;1940; Días sin huella 
84;Festival de Cannes ; Palma de Oro: Mejor película: ;1939; Roma, ciudad abierta 
85;Festival de Cannes ; Gran Premio del Jurado: ;2023; Stars at Noon 
86;Festival de Cannes ; Gran Premio del Jurado: ;2022; Close 
87;Festival de Cannes ; Gran Premio del Jurado: ;2021; Compartimento Nº 6 
88;Festival de Cannes ; Gran Premio del Jurado: ;2020; Un héroe 
89;Festival de Cannes ; Gran Premio del Jurado: ;2019; Atlantique 
90;Festival de Cannes ; Gran Premio del Jurado: ;2018; Infiltrado en el KKKlan 
91;Festival de Cannes ; Gran Premio del Jurado: ;2017; 120 pulsaciones por minuto 
92;Festival de Cannes ; Gran Premio del Jurado: ;2016; Sólo el fin del mundo 
93;Festival de Cannes ; Gran Premio del Jurado: ;2015; El hijo de Saúl 
94;Festival de Cannes ; Gran Premio del Jurado: ;2014; El país de las maravillas 
95;Festival de Cannes ; Gran Premio del Jurado: ;2013; A propósito de Llewyn Davis 
96;Festival de Cannes ; Gran Premio del Jurado: ;2012; Reality 
97;Festival de Cannes ; Gran Premio del Jurado: ;2011; Érase una vez en Anatolia 
98;Festival de Cannes ; Gran Premio del Jurado: ;2010; El niño de la bicicleta 
99;Festival de Cannes ; Gran Premio del Jurado: ;2009; De dioses y hombres 
100;Festival de Cannes ; Gran Premio del Jurado: ;2008; Un profeta 
101;Festival de Cannes ; Gran Premio del Jurado: ;2007; Gomorra 
102;Festival de Cannes ; Gran Premio del Jurado: ;2006; El bosque del luto 
103;Festival de Cannes ; Gran Premio del Jurado: ;2005; Flandres 
104;Festival de Cannes ; Gran Premio del Jurado: ;2004; Flores rotas 
105;Festival de Cannes ; Gran Premio del Jurado: ;2003; Oldboy 
106;Festival de Cannes ; Gran Premio del Jurado: ;2002; Lejano 
107;Festival de Cannes ; Gran Premio del Jurado: ;2001; Un hombre sin pasado 
108;Festival de Cannes ; Gran Premio del Jurado: ;2000; La pianista 
109;Festival de Cannes ; Gran Premio del Jurado: ;1999; Los demonios en mi puerta 
110;Festival de Cannes ; Gran Premio del Jurado: ;1998; La humanidad 
111;Festival de Cannes ; Gran Premio del Jurado: ;1997; La vida es bella 
